Date,Close/Last,Volume,Open,High,Low
03/23/2023,$153.29,1483505,$152.50,$155.835,$149.915
03/22/2023,$149.03,1334027,$154.01,$157.58,$148.86
03/21/2023,$154.30,2212140,$149.40,$155.62,$148.3701
03/20/2023,$148.90,2452365,$157.04,$157.45,$148.47
03/17/2023,$158.25,3325508,$157.04,$158.86,$153.04
03/16/2023,$157.35,2603927,$157.79,$161.49,$152.28
03/15/2023,$158.00,2294147,$157.075,$159.58,$155.54
03/14/2023,$159.98,2669838,$155.00,$160.18,$148.55
03/13/2023,$158.32,2176494,$154.195,$162.33,$149.57
03/10/2023,$155.78,2393856,$169.42,$169.69,$155.34
03/09/2023,$169.99,1526826,$176.92,$180.15,$169.32
03/08/2023,$177.90,960961,$176.63,$178.64,$174.395
03/07/2023,$176.48,2097418,$176.83,$182.72,$175.32
03/06/2023,$176.15,1503322,$178.40,$181.89,$175.70
03/03/2023,$177.53,1699132,$166.60,$178.11,$166.21
03/02/2023,$166.11,1522520,$162.43,$167.00,$159.66
03/01/2023,$162.19,1657043,$165.06,$169.12,$162.14
02/28/2023,$164.33,9810943,$164.47,$166.56,$162.46
02/27/2023,$164.62,1555931,$164.59,$168.2099,$162.16
02/24/2023,$162.55,2090014,$164.29,$166.31,$160.11
02/23/2023,$170.63,1750856,$170.72,$172.83,$167.74
02/22/2023,$169.49,1809418,$166.03,$171.81,$166.03
02/21/2023,$165.15,1983862,$164.42,$167.4299,$163.62
02/17/2023,$168.56,2272162,$174.39,$174.39,$167.14
02/16/2023,$174.66,2549981,$178.43,$182.795,$174.32
02/15/2023,$187.36,1780707,$181.00,$188.57,$179.23
02/14/2023,$181.87,1815295,$172.34,$183.80,$172.18
02/13/2023,$175.56,1600570,$172.79,$177.845,$170.1301
02/10/2023,$172.23,2536844,$169.63,$176.60,$169.60
02/09/2023,$171.15,2152854,$179.00,$180.70,$170.41
02/08/2023,$175.65,1620523,$179.57,$181.3599,$174.685
02/07/2023,$181.16,2904182,$170.94,$182.175,$168.24
02/06/2023,$172.37,2717583,$165.40,$178.71,$165.06
02/03/2023,$169.30,7323032,$159.34,$172.88,$158.41
02/02/2023,$182.41,4849446,$179.65,$183.43,$175.95
02/01/2023,$170.31,2036271,$161.70,$170.96,$159.80
01/31/2023,$161.62,1790378,$158.65,$161.69,$157.0401
01/30/2023,$156.94,2486113,$160.92,$162.9099,$154.34
01/27/2023,$164.25,2758126,$157.40,$165.06,$155.50
01/26/2023,$158.38,1934634,$154.59,$158.82,$152.40
01/25/2023,$151.93,2691091,$147.24,$153.76,$140.92
01/24/2023,$151.70,2212070,$152.665,$153.04,$147.04
01/23/2023,$154.58,4615771,$155.86,$156.00,$150.06
01/20/2023,$157.75,2793472,$149.44,$159.995,$148.901
01/19/2023,$148.89,1632731,$147.34,$150.9099,$145.83
01/18/2023,$148.73,1766020,$155.24,$157.6299,$147.2701
01/17/2023,$152.91,1877883,$147.50,$154.36,$144.26
01/13/2023,$148.00,1820555,$143.90,$148.83,$143.00
01/12/2023,$146.48,2519618,$141.07,$147.34,$139.07
01/11/2023,$141.78,4067520,$136.90,$145.55,$135.80
01/10/2023,$132.16,2592295,$126.26,$132.56,$125.225
01/09/2023,$127.17,3959557,$123.77,$127.72,$121.865
01/06/2023,$121.28,2886769,$120.68,$124.195,$116.40
01/05/2023,$119.97,2691752,$124.50,$125.35,$119.82
01/04/2023,$126.40,2148409,$128.00,$128.195,$123.22
01/03/2023,$126.50,2862121,$131.91,$132.71,$119.84
12/30/2022,$128.68,1419935,$127.15,$129.67,$126.23
12/29/2022,$129.68,1653877,$125.18,$130.23,$124.10
12/28/2022,$123.30,1333617,$124.83,$126.4899,$121.20
12/27/2022,$124.83,1579391,$125.25,$126.45,$122.16
12/23/2022,$127.22,2282220,$125.26,$127.45,$122.21
12/22/2022,$127.26,4558397,$136.67,$137.31,$124.5201
12/21/2022,$139.62,2692028,$137.79,$140.77,$133.385
12/20/2022,$138.02,5887232,$136.56,$139.67,$133.40
12/19/2022,$139.17,6813263,$145.51,$145.87,$136.45
12/16/2022,$147.26,17456200,$145.50,$148.96,$143.78
12/15/2022,$146.23,6389388,$145.01,$149.515,$142.39
12/14/2022,$149.85,6887806,$143.60,$153.15,$143.402
12/13/2022,$143.91,5678602,$155.29,$157.73,$141.23
12/12/2022,$143.79,4693875,$136.25,$149.07,$136.18
12/09/2022,$137.33,3911089,$134.21,$140.43,$134.21
12/08/2022,$135.71,5000782,$130.60,$138.41,$128.31
12/07/2022,$125.46,2930717,$125.81,$126.89,$122.21
12/06/2022,$124.96,3444163,$134.94,$134.94,$123.23
