Date,Close/Last,Volume,Open,High,Low
03/23/2023,$66.30,43152800,$61.85,$70.00,$61.505
03/22/2023,$77.14,24463220,$84.25,$85.38,$76.86
03/21/2023,$83.99,22991860,$76.24,$85.05,$75.77
03/20/2023,$75.14,19026420,$76.76,$77.06,$72.87
03/17/2023,$74.98,31006180,$70.52,$76.80,$69.10
03/16/2023,$67.78,15522940,$64.40,$68.62,$63.12
03/15/2023,$64.47,20825700,$61.90,$66.29,$61.18
03/14/2023,$62.65,25167750,$65.45,$66.21,$61.10
03/13/2023,$59.17,31431950,$54.705,$61.10,$50.77
03/10/2023,$53.44,25743810,$56.39,$56.41,$51.57
03/09/2023,$58.09,20996600,$62.39,$64.12,$57.21
03/08/2023,$63.01,15427820,$61.20,$65.4638,$60.3509
03/07/2023,$61.89,15821520,$62.80,$64.66,$60.59
03/06/2023,$62.77,19826090,$64.60,$69.82,$62.64
03/03/2023,$64.51,17578960,$61.64,$65.56,$61.3822
03/02/2023,$63.70,18122710,$61.07,$63.90,$57.50
03/01/2023,$64.67,15827080,$65.30,$66.79,$63.09
02/28/2023,$64.83,24843890,$59.675,$67.50,$59.4201
02/27/2023,$58.96,13043040,$59.94,$60.9696,$58.1701
02/24/2023,$58.44,14546160,$60.88,$61.59,$56.80
02/23/2023,$62.36,16698490,$63.96,$64.6473,$59.8908
02/22/2023,$61.18,32937550,$62.50,$67.48,$57.35
02/21/2023,$62.07,19845680,$63.32,$66.87,$61.85
02/17/2023,$65.20,23252180,$64.94,$67.90,$61.51
02/16/2023,$65.59,31704830,$65.90,$73.30,$63.91
02/15/2023,$69.34,25726720,$60.21,$69.46,$59.46
02/14/2023,$59.03,23945790,$56.33,$61.08,$55.0319
02/13/2023,$56.40,14435890,$55.52,$57.0899,$53.66
02/10/2023,$57.09,17359920,$58.255,$61.7384,$55.97
02/09/2023,$59.63,23920250,$68.49,$68.93,$59.00
02/08/2023,$69.44,11626530,$70.83,$73.97,$68.30
02/07/2023,$71.42,19819660,$73.43,$73.4801,$67.30
02/06/2023,$74.59,17998390,$73.18,$75.98,$70.52
02/03/2023,$74.63,37125520,$73.72,$87.63,$73.02
02/02/2023,$81.46,43911170,$68.46,$85.54,$68.31
02/01/2023,$65.70,18840780,$59.08,$66.215,$56.65
