Date,Close/Last,Volume,Open,High,Low
03/23/2023,$123.37,4651936,$123.81,$124.93,$122.60
03/22/2023,$124.05,3549024,$127.00,$127.215,$124.01
03/21/2023,$126.57,3856345,$126.90,$127.15,$125.66
03/20/2023,$125.94,4588304,$124.31,$126.16,$124.19
03/17/2023,$123.69,37400170,$124.08,$124.52,$122.93
03/16/2023,$124.70,6440023,$122.96,$124.82,$121.92
03/15/2023,$123.28,5989339,$122.99,$123.35,$121.71
03/14/2023,$124.65,8114792,$126.49,$126.64,$123.20
03/13/2023,$125.58,8188369,$125.15,$128.19,$124.85
03/10/2023,$125.45,5990867,$126.12,$127.29,$125.13
03/09/2023,$126.16,5478317,$128.30,$128.53,$125.98
03/08/2023,$128.05,2778798,$128.48,$128.74,$127.545
03/07/2023,$128.25,3530439,$130.28,$130.42,$128.19
03/06/2023,$130.19,2982980,$129.64,$130.86,$129.59
03/03/2023,$129.64,2860286,$129.35,$129.905,$128.77
03/02/2023,$128.93,3340254,$128.39,$129.22,$127.71
03/01/2023,$128.19,3760678,$128.90,$129.4726,$127.74
02/28/2023,$129.30,5143133,$130.55,$130.61,$129.14
02/27/2023,$130.49,2761326,$131.42,$131.87,$130.13
02/24/2023,$130.57,3015907,$129.62,$130.67,$129.22
02/23/2023,$130.79,3725648,$131.50,$131.70,$128.86
02/22/2023,$130.97,3200185,$131.90,$131.99,$130.29
02/21/2023,$131.71,4257210,$134.00,$134.385,$131.66
02/17/2023,$135.02,3466184,$134.50,$135.58,$133.89
02/16/2023,$135.00,2965495,$135.57,$135.9672,$134.59
02/15/2023,$136.40,2507004,$135.20,$136.445,$135.07
02/14/2023,$136.01,3202172,$137.05,$137.24,$135.05
02/13/2023,$137.35,4403015,$136.00,$137.39,$135.85
02/10/2023,$135.60,5049571,$133.78,$135.77,$133.50
02/09/2023,$133.75,3918817,$134.99,$135.73,$133.34
02/08/2023,$135.98,4593748,$135.71,$136.74,$135.16
02/07/2023,$135.84,3737553,$135.67,$136.40,$134.45
02/06/2023,$136.18,4841300,$135.83,$136.32,$134.95
02/03/2023,$136.94,3755720,$136.35,$136.95,$135.53
02/02/2023,$136.39,6107793,$135.96,$136.72,$134.85
02/01/2023,$135.09,5428898,$134.49,$135.79,$132.80
01/31/2023,$134.73,7206448,$135.50,$135.65,$133.76
