Date,Close/Last,Volume,Open,High,Low
03/23/2023,$432.49,2738070,$419.18,$434.97,$415.58
03/22/2023,$414.21,1558469,$420.73,$428.24,$414.01
03/21/2023,$422.03,1439703,$414.34,$422.69,$411.19
03/20/2023,$411.84,1520124,$412.16,$413.775,$405.76
03/17/2023,$413.69,3124288,$416.83,$418.15,$408.52
03/16/2023,$418.15,1966165,$405.39,$420.28,$401.205
03/15/2023,$406.32,1852664,$404.28,$408.28,$401.63
03/14/2023,$408.30,2236668,$400.63,$409.14,$398.95
03/13/2023,$391.56,2394706,$392.41,$397.82,$384.05
03/10/2023,$392.61,2855381,$403.43,$404.63,$388.82
03/09/2023,$404.58,1723758,$418.80,$424.68,$403.74
03/08/2023,$416.67,1448847,$408.16,$418.175,$408.00
03/07/2023,$409.29,1261512,$413.08,$418.20,$408.44
03/06/2023,$412.71,1459234,$408.58,$419.71,$406.72
03/03/2023,$408.52,1550932,$401.59,$410.72,$400.09
03/02/2023,$400.37,1516517,$398.86,$402.89,$393.87
03/01/2023,$401.27,1651058,$405.00,$406.38,$396.42
02/28/2023,$407.18,2218942,$410.00,$413.0839,$405.37
02/27/2023,$412.62,2166398,$421.38,$422.55,$412.0382
02/24/2023,$419.81,4044666,$404.99,$429.99,$404.11
02/23/2023,$411.88,2476097,$410.83,$416.24,$404.04
02/22/2023,$406.38,1688018,$400.53,$408.09,$397.79
02/21/2023,$396.26,1331920,$396.35,$400.16,$393.69
02/17/2023,$404.38,1626287,$406.41,$406.51,$396.87
02/16/2023,$408.36,1281720,$409.17,$416.58,$406.55
02/15/2023,$421.24,865594,$418.29,$423.19,$414.44
02/14/2023,$421.97,878624,$416.43,$426.22,$412.265
02/13/2023,$418.09,1028948,$415.98,$419.22,$413.91
02/10/2023,$413.52,998370,$415.00,$416.11,$408.90
02/09/2023,$419.74,1098616,$430.64,$431.99,$418.2851
02/08/2023,$421.74,1055058,$426.65,$430.65,$417.7001
02/07/2023,$427.67,1400754,$412.74,$429.88,$409.015
02/06/2023,$414.99,1337921,$417.65,$418.26,$412.70
02/03/2023,$423.76,1843210,$440.76,$440.91,$421.69
02/02/2023,$452.16,1917634,$443.96,$457.94,$442.09
02/01/2023,$435.55,1521652,$420.35,$437.96,$416.005
01/31/2023,$422.67,1174618,$416.45,$422.92,$415.10
01/30/2023,$416.45,1543534,$416.14,$420.53,$412.24
01/27/2023,$422.62,1724997,$408.32,$428.70,$407.27
01/26/2023,$412.55,1282609,$409.95,$413.22,$402.08
01/25/2023,$401.90,1131996,$394.30,$403.95,$385.49
01/24/2023,$401.55,1189633,$410.00,$410.00,$398.74
01/23/2023,$410.00,2211868,$400.73,$410.51,$399.12
01/20/2023,$398.07,1702062,$383.27,$400.3099,$382.55
01/19/2023,$378.60,1082148,$383.14,$388.97,$378.22
01/18/2023,$386.07,1603307,$392.10,$401.315,$385.64
01/17/2023,$390.20,1658658,$392.00,$395.29,$386.75
01/13/2023,$393.21,1311178,$390.00,$394.63,$386.46
01/12/2023,$396.70,1098972,$398.27,$398.27,$386.03
01/11/2023,$395.31,1587429,$388.28,$395.83,$384.29
01/10/2023,$388.68,1069930,$387.58,$394.96,$385.53
01/09/2023,$395.34,1331555,$391.10,$402.64,$388.16
01/06/2023,$386.52,1312858,$380.24,$389.34,$370.62
01/05/2023,$375.62,1263887,$386.35,$387.47,$375.00
01/04/2023,$391.57,1209717,$397.58,$399.72,$387.60
01/03/2023,$391.18,1874001,$396.70,$404.45,$385.22
12/30/2022,$389.22,948917,$386.01,$389.44,$382.68
12/29/2022,$390.87,1004562,$380.38,$391.98,$377.555
12/28/2022,$376.50,843565,$385.36,$388.4982,$374.82
12/27/2022,$383.11,823347,$383.44,$385.3399,$377.4638
12/23/2022,$384.49,705171,$383.32,$385.43,$378.50
12/22/2022,$383.95,1314606,$385.35,$387.75,$376.76
12/21/2022,$393.33,1330126,$389.43,$396.39,$384.26
12/20/2022,$387.08,1320220,$381.87,$390.06,$380.82
12/19/2022,$383.52,1535452,$388.74,$388.74,$377.50
12/16/2022,$384.98,3565663,$392.73,$393.9899,$380.5491
12/15/2022,$396.53,1741524,$410.94,$415.16,$394.24
12/14/2022,$418.92,1631448,$426.53,$434.235,$416.15
12/13/2022,$428.39,3247691,$432.11,$441.98,$422.21
12/12/2022,$410.78,1810523,$400.73,$410.98,$398.33
12/09/2022,$399.83,1061329,$404.19,$405.83,$399.28
12/08/2022,$405.36,1525725,$391.60,$406.72,$389.46
12/07/2022,$388.65,968668,$388.06,$394.19,$385.39
12/06/2022,$389.78,1209860,$395.45,$395.49,$385.16
12/05/2022,$395.14,1499032,$401.16,$404.195,$393.18
12/02/2022,$407.92,1876030,$401.87,$409.17,$400.16
12/01/2022,$416.07,1943059,$407.89,$418.22,$405.00
11/30/2022,$407.59,4902337,$375.49,$411.49,$374.00
11/29/2022,$379.71,1716339,$381.63,$385.335,$377.43
11/28/2022,$385.64,1691577,$394.38,$398.70,$383.48
11/25/2022,$392.47,861769,$394.85,$395.83,$391.48
11/23/2022,$395.85,1489068,$390.42,$400.10,$390.06
11/22/2022,$392.23,2298740,$379.99,$394.00,$375.00
11/21/2022,$375.00,1429458,$376.57,$380.40,$372.16
11/18/2022,$380.07,2046170,$388.47,$389.43,$369.94
11/17/2022,$381.88,2050259,$384.60,$388.49,$378.02
11/16/2022,$393.66,1260116,$407.02,$407.10,$390.83
11/15/2022,$407.02,2076375,$414.50,$416.48,$401.78
11/14/2022,$397.66,1801837,$400.05,$403.57,$391.04
11/11/2022,$408.04,1720185,$402.255,$411.935,$398.64
11/10/2022,$403.24,3088323,$397.35,$403.75,$388.00
11/09/2022,$368.55,1446963,$376.97,$379.65,$368.13
11/08/2022,$382.57,2668592,$372.45,$391.10,$370.13
11/07/2022,$370.11,1650158,$363.56,$370.50,$357.48
11/04/2022,$361.19,3187821,$371.66,$371.66,$352.63
