Date,Close/Last,Volume,Open,High,Low
03/23/2023,$320.37,15653350,$304.68,$322.78,$304.14
03/22/2023,$293.90,5808035,$306.31,$306.45,$293.54
03/21/2023,$305.79,4886279,$306.32,$307.92,$300.43
03/20/2023,$305.13,5113430,$299.79,$307.50,$296.00
03/17/2023,$303.50,6918777,$310.06,$310.76,$300.00
03/16/2023,$310.06,7912371,$304.75,$316.60,$301.71
03/15/2023,$303.79,9215340,$292.51,$306.31,$292.28
03/14/2023,$294.94,5956692,$295.97,$297.45,$290.31
03/13/2023,$293.51,6292385,$287.34,$299.24,$285.3301
03/10/2023,$292.76,5759315,$297.905,$298.79,$289.00
03/09/2023,$297.78,7443350,$312.08,$312.51,$294.88
03/08/2023,$311.79,3479474,$309.29,$311.83,$305.75
03/07/2023,$308.47,4553082,$312.675,$314.30,$306.6226
03/06/2023,$312.03,5660743,$317.00,$323.30,$311.8412
03/03/2023,$315.18,5953319,$315.45,$317.49,$310.82
03/02/2023,$311.88,4921053,$310.96,$315.57,$310.38
03/01/2023,$313.48,4911311,$321.55,$326.60,$312.36
02/28/2023,$322.13,3676075,$323.70,$327.62,$321.17
02/27/2023,$323.03,6142580,$323.87,$330.00,$322.121
02/24/2023,$317.15,6830692,$319.30,$321.50,$314.52
02/23/2023,$323.65,13238670,$331.23,$331.28,$314.30
02/22/2023,$334.88,4546249,$337.50,$341.91,$332.82
02/21/2023,$337.50,5710292,$342.85,$344.1253,$336.4177
02/17/2023,$347.96,5294727,$347.905,$349.00,$342.44
02/16/2023,$350.71,5215726,$355.00,$361.50,$350.31
02/15/2023,$361.42,3969945,$356.63,$362.88,$354.24
02/14/2023,$359.96,4624758,$357.55,$363.75,$353.40
02/13/2023,$358.57,7134445,$349.50,$359.7034,$344.25
02/10/2023,$347.36,7291096,$359.16,$362.14,$347.14
02/09/2023,$362.50,6901100,$372.41,$373.83,$361.7444
02/08/2023,$366.83,6253179,$360.02,$368.193,$358.31
02/07/2023,$362.95,6289368,$358.51,$364.1799,$354.18
02/06/2023,$361.48,4994942,$363.642,$368.45,$360.68
02/03/2023,$365.90,9402034,$359.08,$379.4301,$359.00
02/02/2023,$366.89,7856952,$365.16,$368.32,$358.43
02/01/2023,$361.99,8005170,$353.86,$365.385,$349.91
01/31/2023,$353.86,5660738,$349.98,$355.95,$348.71
01/30/2023,$353.11,5127593,$358.44,$360.95,$352.855
01/27/2023,$360.77,6703548,$363.20,$365.92,$360.59
01/26/2023,$364.87,8256844,$368.77,$369.02,$361.70
01/25/2023,$367.96,7766907,$360.57,$368.8999,$358.501
01/24/2023,$363.83,11796530,$357.53,$365.65,$355.1401
01/23/2023,$357.42,15646850,$341.715,$362.2453,$340.6329
01/20/2023,$342.50,28430340,$336.79,$344.00,$332.625
01/19/2023,$315.78,18008200,$322.57,$324.89,$313.39
01/18/2023,$326.33,7814115,$326.75,$330.08,$321.25
01/17/2023,$326.22,9246987,$331.08,$332.50,$323.60
01/13/2023,$332.82,8286816,$329.97,$336.65,$328.885
01/12/2023,$330.13,10856250,$332.50,$332.95,$323.14
01/11/2023,$327.26,9579681,$326.50,$328.88,$321.35
01/10/2023,$327.54,13072290,$311.07,$329.35,$311.07
01/09/2023,$315.17,6766628,$316.83,$321.70,$313.22
01/06/2023,$315.55,8959839,$311.57,$316.77,$303.69
01/05/2023,$309.70,8328390,$307.00,$314.18,$304.545
01/04/2023,$309.41,9345054,$298.24,$311.135,$295.51
01/03/2023,$294.95,6763964,$298.06,$298.39,$288.70
12/30/2022,$294.88,7566892,$285.53,$295.01,$283.22
12/29/2022,$291.12,9588527,$283.18,$295.4999,$281.01
12/28/2022,$276.88,5964369,$281.92,$285.19,$273.41
12/27/2022,$284.17,5778098,$293.19,$293.57,$282.13
12/23/2022,$294.965,4251108,$296.18,$298.4614,$291.91
12/22/2022,$297.75,7856192,$298.09,$298.88,$290.8131
12/21/2022,$297.96,6376173,$289.99,$300.66,$286.50
12/20/2022,$288.19,6918114,$281.24,$289.28,$280.81
12/19/2022,$288.30,6163667,$289.73,$292.25,$286.13
12/16/2022,$290.71,14080050,$288.76,$294.7199,$288.70
12/15/2022,$290.41,17724560,$302.12,$303.39,$286.55
12/14/2022,$317.83,7543291,$318.97,$324.71,$314.42
12/13/2022,$320.34,10756430,$328.00,$332.7236,$317.199
12/12/2022,$315.18,10148610,$320.00,$323.18,$308.85
12/09/2022,$320.01,14364030,$321.45,$329.00,$319.52
12/08/2022,$310.26,7205326,$309.11,$312.38,$304.8098
12/07/2022,$308.42,7821634,$306.50,$309.61,$302.10
12/06/2022,$305.56,7195395,$311.00,$313.2231,$303.13
12/05/2022,$312.59,8423029,$316.46,$322.77,$310.92
12/02/2022,$320.41,12690600,$310.49,$321.99,$310.00
12/01/2022,$316.95,14664870,$303.99,$319.80,$303.03
11/30/2022,$305.53,16070120,$281.37,$308.26,$280.41
11/29/2022,$280.96,5786874,$282.50,$282.96,$275.94
11/28/2022,$281.17,4707049,$284.00,$289.55,$280.53
11/25/2022,$285.54,3235953,$289.00,$289.21,$284.17
11/23/2022,$291.50,5918988,$285.91,$292.47,$283.76
11/22/2022,$286.69,6245119,$284.99,$286.98,$277.34
11/21/2022,$285.05,7256507,$291.00,$291.87,$282.66
11/18/2022,$287.98,8400108,$297.33,$298.00,$287.00
11/17/2022,$295.28,9838220,$294.72,$299.82,$291.00
11/16/2022,$306.02,8038556,$309.94,$310.49,$303.61
11/15/2022,$310.20,14626930,$309.20,$312.71,$302.55
11/14/2022,$299.27,17973400,$290.00,$311.00,$288.19
11/11/2022,$290.13,9573834,$274.47,$290.66,$271.5577
11/10/2022,$274.97,9667323,$265.99,$275.36,$260.0901
11/09/2022,$254.66,7265994,$259.66,$260.90,$254.2202
11/08/2022,$263.46,7683826,$259.92,$266.08,$256.8801
11/07/2022,$258.60,7927033,$261.06,$261.155,$252.09
11/04/2022,$260.79,11124690,$272.02,$274.97,$255.32
11/03/2022,$269.06,7057350,$271.25,$276.29,$268.80
11/02/2022,$273.00,10367620,$286.40,$287.33,$272.84
11/01/2022,$286.75,6916424,$296.17,$299.70,$286.42
10/31/2022,$291.88,7505133,$295.13,$297.6199,$289.50
10/28/2022,$295.72,9960547,$297.70,$301.19,$292.2924
10/27/2022,$296.94,14612590,$298.33,$305.21,$294.78
10/26/2022,$298.62,15749250,$290.04,$305.63,$288.04
10/25/2022,$291.02,15100720,$286.95,$297.59,$285.5501
10/24/2022,$282.45,13326420,$290.23,$290.49,$280.36
10/21/2022,$289.57,24889060,$268.95,$290.75,$265.68
10/20/2022,$268.16,17207100,$272.78,$278.3755,$266.38
10/19/2022,$272.38,46685260,$265.00,$279.30,$262.66
10/18/2022,$240.86,25776730,$249.80,$250.37,$237.73
10/17/2022,$245.10,21057820,$234.41,$249.9221,$234.40
10/14/2022,$230.00,15293400,$237.80,$238.80,$229.51
10/13/2022,$232.51,17505010,$212.69,$234.47,$211.73
10/12/2022,$220.87,12952640,$214.30,$223.67,$212.64
10/11/2022,$214.29,15282410,$226.05,$230.44,$213.70
10/10/2022,$229.98,9991145,$225.64,$233.83,$224.23
10/07/2022,$224.75,9806128,$235.77,$237.33,$224.28
10/06/2022,$240.02,9188940,$236.68,$244.28,$233.9101
10/05/2022,$236.73,10825630,$238.76,$241.59,$227.38
10/04/2022,$240.74,13925850,$244.84,$245.7999,$233.25
10/03/2022,$239.04,8657443,$237.85,$241.54,$232.85
09/30/2022,$235.44,11848610,$237.00,$242.44,$233.26
09/29/2022,$239.71,18994940,$241.61,$246.98,$235.68
09/28/2022,$245.20,17579670,$229.69,$246.65,$227.38
09/27/2022,$224.36,7762223,$228.63,$230.64,$220.72
09/26/2022,$224.07,8234285,$225.60,$232.70,$223.01
09/23/2022,$226.41,11207230,$235.14,$236.4499,$221.43
09/22/2022,$237.05,10017970,$235.35,$240.50,$231.66
09/21/2022,$236.87,9166772,$242.67,$248.2999,$236.68
09/20/2022,$242.85,16037430,$240.37,$250.49,$239.66
09/19/2022,$243.63,17912370,$245.05,$245.25,$235.75
09/16/2022,$240.13,18914180,$231.22,$241.355,$227.83
09/15/2022,$235.38,19454120,$230.47,$242.2871,$229.10
09/14/2022,$224.12,8230340,$219.82,$228.00,$215.80
09/13/2022,$218.13,8000128,$226.50,$227.69,$217.72
09/12/2022,$236.53,6047425,$233.61,$239.49,$233.37
09/09/2022,$233.57,6702060,$229.62,$234.7799,$229.62
09/08/2022,$227.44,6737436,$224.16,$228.735,$221.30
