Date,Close/Last,Volume,Open,High,Low
03/23/2023,$187.44,8685007,$187.40,$190.56,$185.58
03/22/2023,$186.51,6575610,$190.00,$191.44,$186.41
03/21/2023,$188.68,6982001,$185.87,$189.28,$184.89
03/20/2023,$185.25,5513205,$184.21,$185.52,$182.65
03/17/2023,$184.85,10493250,$186.04,$187.66,$184.175
03/16/2023,$187.30,8370712,$183.30,$187.65,$182.98
03/15/2023,$182.91,7716870,$179.16,$183.86,$178.21
03/14/2023,$182.89,10138050,$180.00,$185.31,$179.11
03/13/2023,$175.51,9154758,$171.00,$177.10,$170.00
03/10/2023,$173.18,14108960,$178.50,$179.36,$171.71
03/09/2023,$178.72,7102401,$183.10,$183.8441,$178.54
03/08/2023,$182.95,6749072,$183.30,$184.90,$181.80
03/07/2023,$183.32,9024333,$184.455,$186.16,$183.03
03/06/2023,$183.80,10770250,$185.07,$189.00,$183.625
03/03/2023,$186.43,12087190,$188.07,$189.77,$184.29
03/02/2023,$186.59,37719870,$193.12,$193.91,$185.20
03/01/2023,$167.35,15841220,$162.99,$167.98,$162.98
02/28/2023,$163.61,6912624,$162.53,$164.45,$161.53
02/27/2023,$163.14,6891182,$163.84,$164.77,$162.22
02/24/2023,$162.20,6569915,$160.59,$162.39,$159.655
02/23/2023,$164.12,4679419,$165.29,$165.47,$161.57
02/22/2023,$163.36,4343685,$163.11,$165.00,$162.11
02/21/2023,$161.62,5210800,$163.74,$164.51,$161.45
02/17/2023,$165.17,8084490,$165.03,$167.11,$162.74
02/16/2023,$168.11,7483541,$168.99,$170.37,$167.9573
02/15/2023,$171.10,4998274,$168.85,$171.605,$168.24
02/14/2023,$169.96,8393074,$168.22,$172.79,$167.85
02/13/2023,$171.08,8820334,$168.28,$171.16,$166.95
02/10/2023,$167.03,11273740,$167.655,$169.74,$165.33
02/09/2023,$173.66,11512320,$173.33,$175.38,$172.01
02/08/2023,$169.63,7694533,$170.00,$172.45,$169.2317
02/07/2023,$171.28,6179220,$167.57,$171.73,$166.61
02/06/2023,$169.05,4310553,$168.00,$171.17,$167.35
02/03/2023,$171.04,6481708,$170.02,$175.08,$169.86
02/02/2023,$174.64,10667080,$175.71,$178.84,$172.90
02/01/2023,$171.82,8853905,$167.73,$173.08,$167.00
01/31/2023,$167.97,6421297,$164.28,$168.01,$164.28
01/30/2023,$164.75,8169797,$164.07,$166.44,$163.40
01/27/2023,$164.52,9872265,$165.05,$167.24,$163.60
01/26/2023,$165.09,13354590,$158.19,$165.17,$158.10
01/25/2023,$156.17,9390506,$151.21,$156.40,$149.82
01/24/2023,$154.86,6390216,$154.61,$160.21,$154.50
01/23/2023,$155.87,19922870,$157.35,$157.87,$153.23
01/20/2023,$151.25,10127050,$144.30,$151.525,$144.30
01/19/2023,$146.41,7070135,$143.52,$146.68,$143.16
01/18/2023,$145.45,7812580,$148.86,$149.54,$145.29
01/17/2023,$148.47,9407610,$149.60,$150.49,$146.1001
01/13/2023,$149.51,8378111,$146.20,$149.96,$146.0942
01/12/2023,$149.60,11678020,$147.84,$149.82,$143.94
01/11/2023,$144.90,13595040,$145.28,$147.04,$143.56
01/10/2023,$147.44,6527711,$145.81,$149.28,$145.6039
01/09/2023,$147.10,13679740,$142.59,$149.20,$142.59
01/06/2023,$140.51,9145711,$137.58,$141.65,$135.55
01/05/2023,$136.34,8493489,$137.64,$138.59,$134.24
01/04/2023,$139.59,14322580,$141.22,$141.85,$137.615
01/03/2023,$134.78,8196354,$135.19,$136.95,$133.03
12/30/2022,$132.59,5630216,$130.61,$132.64,$130.36
12/29/2022,$132.54,7628826,$129.70,$132.95,$129.50
12/28/2022,$128.47,6249841,$129.71,$131.14,$128.17
12/27/2022,$130.66,8300844,$128.56,$131.75,$127.65
12/23/2022,$129.44,5821329,$128.73,$129.86,$127.59
12/22/2022,$129.19,9972880,$128.67,$129.54,$126.34
12/21/2022,$130.30,9313242,$127.956,$132.16,$126.60
12/20/2022,$128.45,8455518,$127.50,$129.9865,$127.19
12/19/2022,$129.01,9441407,$127.77,$129.5799,$127.20
12/16/2022,$128.27,15464710,$128.92,$129.88,$126.8904
12/15/2022,$130.44,10810350,$131.67,$134.115,$129.68
12/14/2022,$134.75,9611766,$135.01,$137.27,$133.23
12/13/2022,$135.62,12579840,$137.39,$139.88,$134.04
12/12/2022,$133.11,11852360,$131.10,$134.0889,$130.95
12/09/2022,$131.11,10287480,$129.74,$133.37,$128.36
12/08/2022,$130.13,15156910,$128.43,$131.46,$127.02
12/07/2022,$130.48,12915930,$132.50,$133.75,$130.02
12/06/2022,$133.27,16981800,$132.71,$134.55,$130.91
12/05/2022,$133.93,20294600,$142.80,$144.39,$132.88
12/02/2022,$144.56,15086660,$144.29,$145.21,$142.78
12/01/2022,$147.00,33721470,$147.55,$147.586,$142.08
11/30/2022,$160.25,14591530,$150.75,$160.25,$150.13
11/29/2022,$151.68,6398123,$152.72,$154.02,$151.26
11/28/2022,$153.69,7935615,$152.00,$155.32,$152.00
11/25/2022,$153.35,3023746,$152.07,$154.04,$151.38
11/23/2022,$152.24,5558886,$147.62,$152.91,$147.55
11/22/2022,$149.25,7017708,$145.20,$149.38,$142.92
11/21/2022,$144.85,8015886,$146.02,$147.34,$143.395
11/18/2022,$148.04,7556035,$151.84,$152.32,$145.645
11/17/2022,$149.69,7357904,$150.19,$151.76,$148.34
11/16/2022,$155.12,6454684,$160.00,$160.82,$153.83
11/15/2022,$162.07,8116050,$162.68,$165.25,$160.7492
11/14/2022,$158.66,6580055,$155.82,$160.16,$154.645
11/11/2022,$157.73,7382476,$156.49,$159.92,$155.58
11/10/2022,$156.30,8777927,$151.00,$156.37,$149.73
11/09/2022,$142.06,5588538,$145.85,$146.3255,$141.94
11/08/2022,$147.10,9101759,$145.09,$151.56,$145.08
11/07/2022,$144.59,7379946,$140.62,$144.93,$138.7701
11/04/2022,$139.77,14265340,$146.50,$146.95,$136.04
11/03/2022,$146.33,5999352,$149.00,$150.415,$146.13
11/02/2022,$150.01,7242215,$159.51,$159.77,$149.96
11/01/2022,$159.82,4545909,$165.00,$165.6999,$159.64
10/31/2022,$162.59,4878097,$162.12,$164.00,$161.00
10/28/2022,$163.02,5055359,$159.51,$163.09,$158.17
10/27/2022,$159.75,4987716,$161.80,$164.66,$159.32
10/26/2022,$159.91,6623009,$159.80,$164.12,$158.70
10/25/2022,$165.27,5804513,$161.70,$166.03,$161.685
10/24/2022,$160.65,6259152,$161.18,$161.57,$158.3968
10/21/2022,$160.17,8335482,$157.50,$160.43,$154.8182
10/20/2022,$157.50,9203368,$155.00,$161.30,$153.60
10/19/2022,$153.67,6220490,$151.86,$155.95,$150.64
10/18/2022,$153.53,16354760,$156.45,$158.97,$151.90
10/17/2022,$147.18,6288211,$146.07,$149.00,$145.942
10/14/2022,$142.22,5738358,$147.33,$147.70,$142.00
10/13/2022,$145.44,6548552,$138.96,$146.34,$137.59
10/12/2022,$142.29,5707135,$142.31,$143.44,$139.58
10/11/2022,$142.57,7414980,$144.51,$144.97,$139.52
10/10/2022,$145.64,5497767,$150.62,$150.9626,$144.58
10/07/2022,$150.29,5956733,$151.80,$153.17,$149.27
10/06/2022,$155.46,3853938,$155.72,$158.25,$154.441
10/05/2022,$156.23,4256243,$152.20,$156.96,$151.9399
10/04/2022,$155.73,8017945,$151.70,$157.415,$151.22
10/03/2022,$147.90,6819910,$144.98,$148.96,$143.90
09/30/2022,$143.84,7575618,$146.01,$148.63,$143.75
09/29/2022,$146.81,8602480,$148.45,$148.98,$145.01
09/28/2022,$150.17,7908447,$146.00,$150.875,$145.6665
09/27/2022,$148.89,7046635,$148.37,$150.61,$146.255
09/26/2022,$146.32,7862409,$147.00,$151.19,$145.35
09/23/2022,$147.01,9175754,$148.07,$149.84,$144.79
09/22/2022,$150.15,12405070,$149.51,$152.86,$149.15
09/21/2022,$147.63,6164388,$151.22,$153.30,$147.51
09/20/2022,$149.80,5505747,$151.00,$151.58,$148.852
09/19/2022,$152.83,4874836,$150.71,$153.54,$150.40
09/16/2022,$151.51,9882285,$151.92,$152.206,$149.56
09/15/2022,$154.78,7012150,$156.80,$159.84,$154.31
09/14/2022,$160.28,6037309,$158.59,$161.65,$158.01
09/13/2022,$158.10,5463179,$158.25,$161.255,$157.81
09/12/2022,$165.63,6353354,$163.69,$165.66,$162.74
09/09/2022,$162.59,5645429,$158.60,$163.295,$158.47
09/08/2022,$156.90,6659237,$152.32,$157.03,$151.78
09/07/2022,$153.28,6211356,$151.29,$154.0615,$150.48
09/06/2022,$151.72,6373733,$152.88,$154.43,$150.82
09/02/2022,$153.69,7315696,$156.46,$158.67,$152.96
09/01/2022,$153.53,9924037,$154.87,$155.33,$150.87
08/31/2022,$156.12,9166083,$159.79,$161.21,$155.97
08/30/2022,$159.67,8079359,$162.14,$163.85,$158.38
08/29/2022,$160.21,9329900,$164.28,$165.815,$160.05
08/26/2022,$165.23,11074720,$173.96,$176.30,$164.63
08/25/2022,$173.91,24025590,$168.58,$174.14,$165.56
08/24/2022,$180.01,11438810,$176.67,$181.23,$176.06
08/23/2022,$176.00,5076836,$175.88,$178.1093,$174.905
08/22/2022,$176.98,5182913,$180.00,$180.59,$176.06
08/19/2022,$183.77,4346139,$185.22,$185.44,$181.58
08/18/2022,$187.93,2791624,$188.42,$188.57,$186.61
08/17/2022,$187.96,3181278,$187.72,$189.43,$186.47
08/16/2022,$189.59,3835945,$189.55,$190.85,$186.36
08/15/2022,$191.06,2768479,$189.05,$192.105,$188.90
08/12/2022,$189.89,3846152,$186.63,$190.02,$185.505
08/11/2022,$186.73,4175064,$192.13,$192.50,$186.32
08/10/2022,$188.61,4179165,$188.16,$189.569,$186.21
08/09/2022,$182.24,5851671,$186.30,$187.13,$179.82
08/08/2022,$189.75,3398638,$191.09,$194.37,$189.08
08/05/2022,$190.17,4090307,$187.00,$191.80,$186.28
08/04/2022,$191.27,3759666,$188.56,$191.58,$187.25
08/03/2022,$189.65,5786256,$185.53,$190.68,$185.37
08/02/2022,$183.79,4317852,$180.81,$185.14,$179.4311
08/01/2022,$182.98,3997132,$181.30,$185.18,$179.76
07/29/2022,$184.02,4751359,$181.82,$184.42,$180.22
07/28/2022,$181.29,4562052,$178.41,$181.88,$175.93
07/27/2022,$180.30,4960877,$174.86,$182.23,$174.35
07/26/2022,$170.46,3886477,$177.11,$177.13,$169.7601
07/25/2022,$177.29,4407891,$181.83,$181.99,$175.075
07/22/2022,$182.47,3804734,$185.07,$187.56,$180.93
07/21/2022,$185.35,3885958,$180.66,$185.53,$179.905
07/20/2022,$182.45,5654028,$176.10,$183.4999,$175.61
07/19/2022,$173.81,4373417,$170.92,$174.10,$167.81
07/18/2022,$167.89,3818189,$168.95,$172.64,$167.11
07/15/2022,$167.38,6037651,$163.71,$167.61,$162.22
07/14/2022,$161.04,6096089,$161.03,$161.71,$157.65
07/13/2022,$163.49,6225916,$162.41,$165.84,$161.17
07/12/2022,$166.33,7072984,$172.21,$173.38,$164.35
07/11/2022,$174.36,3697537,$174.00,$176.32,$171.26
07/08/2022,$175.50,2869242,$174.05,$176.61,$172.84
07/07/2022,$176.64,4000121,$174.17,$176.9392,$173.17
07/06/2022,$172.73,4085109,$173.52,$175.06,$170.83
07/05/2022,$172.20,4618069,$166.10,$172.35,$164.61
07/01/2022,$168.20,4561576,$164.76,$169.15,$164.05
06/30/2022,$165.04,9539418,$165.05,$167.50,$161.11
06/29/2022,$170.61,5430441,$172.50,$173.78,$168.06
06/28/2022,$171.46,6682362,$180.29,$182.33,$171.44
06/27/2022,$181.31,6170845,$186.11,$186.58,$180.4715
06/24/2022,$185.92,12107110,$177.72,$186.405,$176.55
06/23/2022,$173.05,7257956,$169.09,$173.3899,$167.12
06/22/2022,$167.45,5865254,$164.70,$170.45,$164.21
06/21/2022,$166.83,6736788,$165.05,$169.35,$164.90
06/17/2022,$163.26,13074630,$158.56,$166.23,$158.17
06/16/2022,$159.85,8090882,$163.73,$166.90,$158.62
06/15/2022,$168.55,7740676,$166.73,$171.50,$164.68
06/14/2022,$164.45,8576172,$168.73,$169.63,$162.15
06/13/2022,$166.03,10726190,$170.55,$172.68,$165.06
06/10/2022,$178.45,7857553,$183.63,$183.95,$177.2044
06/09/2022,$187.11,8486282,$188.53,$192.6799,$186.61
06/08/2022,$189.19,6226152,$187.00,$190.5599,$185.39
06/07/2022,$187.15,6331089,$181.71,$188.60,$181.71
06/06/2022,$182.87,5811718,$188.93,$190.42,$181.70
06/03/2022,$184.91,9223960,$185.00,$189.64,$183.80
06/02/2022,$188.40,19231220,$175.00,$190.13,$174.70
06/01/2022,$176.07,37037410,$178.01,$184.42,$174.37
05/31/2022,$160.24,18114610,$166.96,$167.28,$159.35
05/27/2022,$165.10,7883615,$160.67,$165.23,$160.25
05/26/2022,$162.46,6697678,$159.69,$163.69,$157.57
05/25/2022,$159.65,7436776,$155.32,$161.89,$155.32
05/24/2022,$156.93,6928394,$157.77,$158.39,$154.55
05/23/2022,$160.32,6148844,$159.84,$160.73,$155.91
05/20/2022,$159.65,9068740,$158.74,$160.73,$154.55
05/19/2022,$155.60,8382193,$155.23,$159.25,$154.73
05/18/2022,$157.33,7454376,$162.82,$164.52,$156.19
05/17/2022,$163.73,7317728,$167.33,$169.10,$158.27
05/16/2022,$164.12,5065837,$164.74,$166.11,$161.88
05/13/2022,$166.91,6499749,$163.55,$168.68,$162.01
05/12/2022,$160.42,10187550,$156.93,$166.85,$154.64
05/11/2022,$161.27,7220076,$165.50,$169.98,$160.83
05/10/2022,$167.15,8598717,$167.42,$171.26,$163.275
05/09/2022,$163.60,9997769,$166.72,$170.2885,$162.13
05/06/2022,$169.70,7232666,$169.49,$172.43,$165.58
05/05/2022,$172.30,8379395,$180.49,$182.235,$169.82
05/04/2022,$185.48,7563074,$179.71,$185.98,$174.74
05/03/2022,$178.36,5047686,$176.95,$180.385,$176.13
05/02/2022,$177.57,6278442,$175.09,$177.78,$173.12
04/29/2022,$175.94,7110752,$182.57,$185.36,$175.30
04/28/2022,$185.74,10617860,$181.41,$186.93,$178.98
04/27/2022,$174.68,9644616,$171.00,$177.23,$170.625
04/26/2022,$170.08,8073280,$172.62,$173.72,$167.55
04/25/2022,$174.57,7988936,$169.69,$174.76,$169.2278
04/22/2022,$171.43,8843906,$177.70,$179.05,$171.10
04/21/2022,$177.23,9119512,$188.78,$190.17,$176.74
04/20/2022,$186.23,6015364,$192.89,$193.30,$186.08
04/19/2022,$191.39,6120405,$187.24,$192.20,$185.52
04/18/2022,$187.01,4899472,$188.30,$189.35,$185.53
04/14/2022,$189.41,5126676,$196.32,$196.45,$189.22
04/13/2022,$195.72,8733017,$191.985,$197.10,$189.32
04/12/2022,$194.81,4832184,$199.75,$201.12,$194.58
04/11/2022,$195.45,5173760,$194.21,$197.10,$192.16
04/08/2022,$197.17,3897664,$198.64,$200.14,$196.62
04/07/2022,$200.16,5245971,$199.12,$202.72,$198.19
04/06/2022,$200.82,7171285,$205.21,$205.465,$198.08
04/05/2022,$210.14,7304637,$218.00,$218.27,$208.67
04/04/2022,$218.85,7845801,$214.63,$221.00,$214.10
04/01/2022,$212.25,6007859,$212.48,$214.03,$210.04
03/31/2022,$212.32,7141260,$214.50,$216.79,$211.79
03/30/2022,$214.94,4951199,$219.71,$219.85,$213.40
03/29/2022,$221.29,5370373,$218.62,$222.155,$216.77
03/28/2022,$215.28,4290886,$210.38,$215.38,$209.30
03/25/2022,$211.03,3657994,$214.27,$215.86,$208.48
03/24/2022,$213.98,4150252,$212.35,$214.11,$209.87
03/23/2022,$211.11,8404667,$213.87,$213.93,$208.31
03/22/2022,$218.21,7018788,$213.72,$221.85,$212.615
03/21/2022,$213.72,6448739,$218.19,$219.10,$210.61
03/18/2022,$218.80,12220550,$209.23,$219.58,$208.305
03/17/2022,$210.41,5842555,$204.62,$210.68,$202.5601
03/16/2022,$205.57,6043359,$198.66,$205.90,$197.33
03/15/2022,$196.14,5276325,$198.53,$199.96,$192.74
03/14/2022,$193.12,5665470,$198.24,$200.16,$191.82
03/11/2022,$197.90,5196914,$204.77,$204.77,$197.63
03/10/2022,$200.15,5604161,$199.10,$201.20,$197.53
03/09/2022,$203.16,6881263,$198.35,$205.23,$197.22
03/08/2022,$192.08,8229049,$194.28,$197.20,$189.20
03/07/2022,$196.23,7043501,$203.45,$204.93,$196.04
03/04/2022,$203.01,6816423,$204.70,$206.38,$199.26
03/03/2022,$204.75,6559852,$210.39,$211.63,$204.22
03/02/2022,$210.39,16670100,$216.10,$217.3096,$201.1501
03/01/2022,$208.89,12587320,$213.40,$214.39,$208.46
02/28/2022,$210.53,7904654,$207.79,$211.67,$206.95
02/25/2022,$208.09,5853614,$204.724,$208.4674,$201.61
02/24/2022,$204.29,11792610,$184.74,$204.90,$184.44
02/23/2022,$190.54,7784294,$196.35,$199.00,$190.13
02/22/2022,$195.13,8434762,$195.53,$201.46,$193.525
02/18/2022,$196.84,6691812,$200.40,$202.60,$195.79
02/17/2022,$200.03,8820050,$208.33,$209.75,$199.50
02/16/2022,$211.74,7072715,$211.00,$212.42,$208.21
02/15/2022,$214.25,6355740,$209.75,$214.57,$208.52
02/14/2022,$206.40,7005942,$205.80,$209.90,$204.63
02/11/2022,$207.90,8165623,$217.62,$219.93,$206.1121
02/10/2022,$217.67,5312607,$217.70,$221.99,$215.81
02/09/2022,$222.04,6107708,$221.14,$222.19,$215.57
02/08/2022,$217.43,5628683,$215.60,$217.94,$212.15
02/07/2022,$216.97,3922259,$219.00,$221.44,$216.66
02/04/2022,$219.23,6176474,$214.99,$221.67,$213.19
02/03/2022,$212.77,12826600,$218.07,$220.7909,$210.40
02/02/2022,$225.01,9378866,$233.74,$234.49,$223.0169
02/01/2022,$232.12,6387115,$232.37,$232.78,$226.32
01/31/2022,$232.63,7084216,$222.95,$232.91,$222.26
01/28/2022,$222.13,8254892,$214.30,$222.29,$210.88
01/27/2022,$212.74,9468583,$214.08,$223.15,$212.06
01/26/2022,$211.00,10029560,$219.61,$221.46,$209.07
01/25/2022,$215.39,9092713,$221.00,$223.90,$214.67
01/24/2022,$223.03,11674760,$212.39,$223.38,$207.51
01/21/2022,$218.63,9128418,$223.06,$224.77,$218.25
01/20/2022,$222.94,5663652,$229.07,$231.40,$222.49
01/19/2022,$226.27,5332617,$227.47,$232.21,$226.17
01/18/2022,$226.06,6034024,$228.45,$230.73,$225.30
01/14/2022,$231.23,5805137,$228.03,$233.29,$227.6074
01/13/2022,$228.63,6680317,$237.50,$238.79,$227.92
01/12/2022,$237.83,6718884,$237.00,$239.28,$235.76
01/11/2022,$234.84,7635332,$228.80,$236.35,$226.56
01/10/2022,$229.63,7803784,$225.50,$229.83,$218.89
01/07/2022,$228.31,6286718,$228.50,$232.28,$226.05
01/06/2022,$229.15,9376094,$228.04,$234.48,$226.0532
01/05/2022,$227.67,18882470,$236.17,$238.20,$227.31
01/04/2022,$248.23,7240729,$256.85,$256.87,$243.395
01/03/2022,$255.46,4318489,$255.01,$256.70,$248.65
12/31/2021,$254.13,3169312,$254.47,$256.49,$253.63
12/30/2021,$255.33,2950573,$255.30,$257.90,$254.46
12/29/2021,$254.54,2592745,$256.00,$256.43,$253.12
12/28/2021,$255.45,3296365,$259.73,$260.78,$254.938
12/27/2021,$258.30,3532542,$253.39,$258.43,$253.24
12/23/2021,$253.14,3769478,$251.23,$254.31,$249.335
12/22/2021,$252.80,4982392,$253.42,$254.26,$249.51
12/21/2021,$252.55,5428209,$248.00,$253.01,$245.25
12/20/2021,$247.21,5580059,$249.89,$251.54,$246.50
12/17/2021,$252.93,12170270,$251.24,$253.90,$246.79
12/16/2021,$253.12,6556672,$260.00,$261.3499,$252.22
12/15/2021,$260.04,6484942,$254.85,$260.19,$251.90
12/14/2021,$255.59,7227339,$262.00,$262.15,$253.30
12/13/2021,$265.76,3625721,$265.80,$270.56,$264.61
12/10/2021,$266.03,3480091,$266.10,$270.57,$264.44
12/09/2021,$264.32,3966956,$266.04,$266.68,$262.64
12/08/2021,$266.31,4586480,$268.31,$268.50,$264.57
12/07/2021,$266.99,7401230,$265.47,$270.23,$263.60
12/06/2021,$258.75,7122951,$256.10,$259.23,$250.71
12/03/2021,$258.32,8944026,$261.55,$261.75,$251.70
12/02/2021,$261.20,12200790,$252.82,$262.58,$252.1401
12/01/2021,$251.50,30744430,$271.26,$276.94,$251.46
11/30/2021,$284.96,13597640,$296.19,$299.27,$283.40
11/29/2021,$296.74,8215565,$289.52,$298.39,$284.70
11/26/2021,$284.21,4195279,$284.50,$287.57,$283.04
11/24/2021,$289.17,5091437,$286.04,$289.4499,$283.20
11/23/2021,$291.42,6432469,$293.65,$296.47,$288.31
11/22/2021,$296.84,4476157,$301.84,$305.49,$296.72
11/19/2021,$301.17,4758869,$305.71,$306.00,$301.10
11/18/2021,$302.99,4444339,$306.16,$306.99,$299.58
11/17/2021,$308.02,3864656,$307.78,$309.90,$307.25
11/16/2021,$307.09,2989383,$304.08,$307.58,$302.721
11/15/2021,$305.49,3595625,$306.90,$307.76,$303.23
11/12/2021,$306.65,3803734,$304.50,$307.22,$301.63
11/11/2021,$302.98,2681892,$301.50,$305.75,$301.50
11/10/2021,$299.67,4350924,$306.57,$308.59,$297.885
11/09/2021,$309.71,3126523,$310.00,$311.75,$307.22
11/08/2021,$309.96,3893014,$307.20,$311.39,$305.9001
11/05/2021,$307.25,4681990,$308.50,$311.40,$303.34
11/04/2021,$308.04,3833787,$303.50,$308.41,$302.40
11/03/2021,$302.89,3260169,$303.95,$303.95,$298.19
11/02/2021,$302.95,4177512,$301.72,$303.44,$299.41
11/01/2021,$302.76,3825097,$301.50,$304.86,$299.72
10/29/2021,$299.69,4251850,$298.00,$300.78,$296.27
10/28/2021,$298.38,3450407,$295.07,$298.8099,$293.53
