Date,Close/Last,Volume,Open,High,Low
03/23/2023,$140.65,7348067,$140.20,$141.61,$139.49
03/22/2023,$139.52,6182807,$140.64,$141.22,$139.46
03/21/2023,$140.42,6337781,$141.39,$141.39,$139.53
03/20/2023,$140.90,11309530,$140.10,$141.92,$139.81
03/17/2023,$139.40,14360400,$138.19,$139.49,$137.59
03/16/2023,$138.28,9637470,$139.43,$139.65,$137.88
03/15/2023,$139.64,11044540,$136.89,$139.81,$136.71
03/14/2023,$138.10,8514220,$137.69,$138.27,$137.00
03/13/2023,$137.37,9380690,$136.68,$138.50,$136.58
03/10/2023,$136.97,6688361,$137.02,$138.28,$136.09
03/09/2023,$137.17,5138563,$138.83,$138.98,$136.92
03/08/2023,$138.10,6363574,$138.56,$138.92,$137.28
03/07/2023,$139.25,5795838,$141.18,$141.68,$138.79
03/06/2023,$140.65,5573612,$140.50,$140.98,$140.02
03/03/2023,$140.67,5629559,$141.04,$141.19,$139.77
03/02/2023,$140.50,4929515,$139.84,$140.74,$139.50
03/01/2023,$140.15,4726732,$141.06,$141.28,$139.3701
02/28/2023,$142.13,6018036,$141.00,$142.65,$140.95
02/27/2023,$141.44,5549099,$142.71,$143.09,$140.66
02/24/2023,$142.47,6874531,$140.84,$142.74,$139.53
02/23/2023,$142.09,7340419,$144.37,$144.37,$140.71
02/22/2023,$144.24,9947985,$146.77,$147.57,$142.76
02/21/2023,$147.33,18131280,$142.88,$148.34,$142.15
02/17/2023,$146.44,8256940,$145.11,$146.69,$144.57
02/16/2023,$144.27,5437386,$145.48,$145.99,$144.18
02/15/2023,$146.57,4892684,$144.96,$146.60,$144.56
02/14/2023,$145.49,4610630,$145.73,$147.1307,$144.56
02/13/2023,$145.91,5338635,$144.71,$146.12,$144.51
02/10/2023,$143.72,5000947,$143.09,$143.94,$142.17
02/09/2023,$141.52,4354979,$140.87,$141.94,$140.568
02/08/2023,$140.22,3897058,$140.33,$141.10,$139.985
02/07/2023,$140.98,5447116,$139.77,$141.30,$138.69
02/06/2023,$140.68,5817971,$141.82,$142.10,$140.03
02/03/2023,$141.71,5718501,$143.36,$143.96,$140.86
02/02/2023,$143.62,5935591,$144.41,$144.86,$142.9356
02/01/2023,$144.67,4283059,$143.66,$145.61,$142.70
01/31/2023,$143.87,4701157,$142.32,$143.88,$141.66
01/30/2023,$142.15,5299156,$142.12,$142.45,$141.27
01/27/2023,$143.30,6137582,$142.60,$144.47,$141.75
01/26/2023,$142.21,5273032,$143.03,$143.75,$141.76
01/25/2023,$142.34,4163912,$142.24,$142.835,$140.39
01/24/2023,$143.02,4556450,$146.55,$159.88,$141.00
01/23/2023,$142.64,4383271,$140.46,$143.01,$140.20
01/20/2023,$140.54,9847661,$139.40,$140.78,$138.17
01/19/2023,$138.83,5780700,$141.39,$141.525,$138.79
01/18/2023,$140.84,7558141,$144.20,$144.25,$140.475
01/17/2023,$144.41,5040811,$145.29,$145.71,$144.195
01/13/2023,$145.29,4566729,$145.53,$145.82,$143.8601
01/12/2023,$144.81,4157593,$146.41,$146.42,$144.39
01/11/2023,$146.13,4944866,$145.74,$146.18,$144.73
01/10/2023,$144.86,3990219,$144.94,$145.45,$143.73
01/09/2023,$144.95,5918873,$146.32,$147.86,$144.80
01/06/2023,$146.78,7077269,$144.60,$147.55,$144.24
01/05/2023,$143.27,4424807,$143.46,$144.13,$142.65
01/04/2023,$143.76,4446303,$143.42,$144.05,$142.07
01/03/2023,$143.60,5749895,$142.55,$143.71,$142.09
12/30/2022,$141.79,3835316,$141.56,$141.9925,$140.81
12/29/2022,$142.15,3057412,$142.14,$143.02,$141.75
12/28/2022,$141.29,5082062,$143.47,$143.67,$140.91
12/27/2022,$143.81,3348406,$144.04,$144.45,$143.19
12/23/2022,$143.77,3182568,$143.05,$143.80,$142.28
12/22/2022,$143.48,4362066,$144.77,$144.98,$141.93
12/21/2022,$145.18,4575507,$144.32,$145.94,$144.26
12/20/2022,$144.05,5669767,$142.92,$144.64,$142.25
12/19/2022,$142.80,5022485,$143.01,$143.56,$141.7273
12/16/2022,$142.75,13447740,$144.48,$144.72,$142.57
12/15/2022,$145.36,5839323,$145.58,$146.42,$143.63
12/14/2022,$146.67,6778208,$147.09,$148.53,$145.96
12/13/2022,$147.49,7802889,$150.00,$150.20,$146.74
12/12/2022,$148.02,6477443,$145.90,$148.10,$145.56
12/09/2022,$145.31,9309818,$147.47,$147.715,$145.22
12/08/2022,$148.78,4504214,$149.16,$149.275,$148.14
12/07/2022,$149.11,5850070,$150.50,$151.21,$148.82
12/06/2022,$149.89,6875202,$151.20,$151.905,$149.21
12/05/2022,$151.65,7869424,$152.75,$153.00,$150.51
12/02/2022,$153.22,6911044,$151.48,$153.235,$151.48
12/01/2022,$153.37,7577389,$152.05,$153.61,$150.73
11/30/2022,$152.42,10445990,$152.61,$152.77,$151.20
11/29/2022,$152.97,4614051,$153.03,$153.71,$152.55
11/28/2022,$153.51,5893321,$152.72,$154.64,$152.72
11/25/2022,$153.07,2925807,$152.12,$153.09,$151.8627
11/23/2022,$152.42,5640225,$152.08,$153.365,$151.88
11/22/2022,$151.69,5632847,$152.00,$152.4499,$151.12
11/21/2022,$151.15,7052359,$150.61,$152.14,$150.19
11/18/2022,$150.23,6328950,$149.67,$150.24,$148.77
11/17/2022,$148.00,8265936,$147.01,$148.73,$146.71
11/16/2022,$148.50,10864410,$147.88,$150.20,$147.12
11/15/2022,$147.44,25516230,$145.61,$150.27,$144.55
11/14/2022,$138.39,12508640,$141.64,$143.32,$138.27
11/11/2022,$142.58,6423640,$142.67,$143.12,$139.99
11/10/2022,$142.36,6770204,$142.51,$142.69,$140.50
11/09/2022,$139.47,5310723,$142.76,$143.16,$139.21
11/08/2022,$142.79,5022837,$142.58,$144.075,$141.51
11/07/2022,$142.45,3788036,$141.26,$142.969,$141.26
11/04/2022,$140.97,4889768,$142.03,$142.21,$138.795
11/03/2022,$140.72,3658788,$139.51,$141.7147,$139.08
11/02/2022,$140.75,5176022,$141.16,$143.565,$140.70
11/01/2022,$141.69,4938327,$142.97,$143.55,$141.50
10/31/2022,$142.33,7524024,$142.34,$143.07,$141.77
10/28/2022,$142.51,4549390,$140.05,$142.90,$140.04
10/27/2022,$140.73,5534310,$141.01,$142.10,$140.295
10/26/2022,$141.14,6921059,$140.36,$142.04,$139.82
10/25/2022,$140.07,5017065,$139.09,$140.44,$138.32
10/24/2022,$139.41,6268879,$137.45,$140.475,$137.13
10/21/2022,$136.80,6044897,$134.81,$137.41,$134.00
10/20/2022,$134.09,4251646,$133.98,$135.40,$133.645
10/19/2022,$133.76,3779827,$134.33,$134.7324,$132.97
10/18/2022,$134.14,5614055,$133.43,$135.10,$133.33
10/17/2022,$131.37,5937465,$130.96,$132.8251,$130.585
10/14/2022,$130.43,5547555,$132.44,$133.22,$130.05
10/13/2022,$132.28,6848502,$129.28,$132.94,$128.37
10/12/2022,$131.17,5649193,$133.01,$134.7693,$130.97
10/11/2022,$132.67,7092041,$129.51,$133.80,$129.455
10/10/2022,$129.32,3803852,$129.53,$129.93,$128.2817
10/07/2022,$128.56,5693463,$131.31,$131.65,$128.07
10/06/2022,$131.68,4733488,$133.08,$134.48,$131.58
10/05/2022,$132.92,4851276,$133.76,$134.62,$132.51
10/04/2022,$134.25,5378122,$133.86,$135.20,$133.37
10/03/2022,$132.53,5858259,$130.24,$132.79,$130.01
09/30/2022,$129.70,6534061,$132.24,$132.36,$129.70
09/29/2022,$132.25,5080533,$133.50,$134.12,$131.63
09/28/2022,$133.11,5612761,$131.41,$133.65,$129.72
09/27/2022,$130.95,5659860,$132.23,$133.43,$130.3035
09/26/2022,$131.31,7670361,$128.75,$132.14,$128.27
09/23/2022,$130.06,9065131,$132.87,$133.175,$128.77
09/22/2022,$133.39,5581458,$134.57,$134.72,$132.84
09/21/2022,$134.77,8301190,$135.44,$137.45,$134.62
09/20/2022,$133.55,4654483,$133.48,$133.88,$132.535
09/19/2022,$134.33,5617727,$132.82,$134.76,$132.47
09/16/2022,$133.19,13958130,$132.00,$134.55,$131.28
09/15/2022,$133.47,6729778,$135.05,$135.15,$132.97
09/14/2022,$134.92,6644898,$135.63,$136.53,$134.10
09/13/2022,$135.22,5895775,$136.86,$137.95,$134.81
09/12/2022,$138.07,4761506,$137.08,$138.249,$136.965
09/09/2022,$136.84,5381762,$136.30,$137.50,$136.13
09/08/2022,$136.43,5652008,$135.40,$136.87,$134.88
09/07/2022,$135.74,5686324,$133.06,$135.965,$132.74
09/06/2022,$132.34,7299870,$133.05,$133.62,$130.72
09/02/2022,$133.00,5744847,$134.85,$135.67,$132.43
09/01/2022,$134.48,7247267,$132.54,$135.14,$132.40
08/31/2022,$132.55,7486916,$132.78,$133.79,$131.93
08/30/2022,$132.48,4822677,$133.34,$133.65,$131.74
08/29/2022,$132.88,5793855,$130.83,$133.865,$130.59
08/26/2022,$131.60,7110615,$136.11,$136.83,$131.515
08/25/2022,$135.87,6471534,$135.28,$135.99,$135.03
08/24/2022,$134.97,5255512,$134.35,$135.295,$133.60
08/23/2022,$134.00,5651696,$134.61,$134.96,$133.21
08/22/2022,$134.57,6222407,$136.20,$136.7199,$134.44
08/19/2022,$137.02,7639558,$138.92,$139.07,$136.91
08/18/2022,$139.07,6399178,$139.53,$140.42,$138.50
08/17/2022,$139.52,13930700,$138.57,$142.72,$138.40
08/16/2022,$139.37,30591110,$138.90,$140.93,$138.19
