Date,Close,Layoffs,Pct_Change,Direction_Change
03/04/2020,357.49,0,0.0,1
03/11/2020,328.24,0,-8.18,-1
03/18/2020,302.59,0,-7.81,-1
03/25/2020,305.21,0,0.87,1
04/01/2020,313.27,0,2.64,1
04/08/2020,308.56,0,-1.5,-1
04/16/2020,331.07,0,7.3,1
04/23/2020,338.02,0,2.1,1
04/30/2020,345.77,0,2.29,1
05/07/2020,355.68,0,2.87,1
05/14/2020,363.6,0,2.23,1
05/21/2020,374.25,0,2.93,1
05/29/2020,380.7,0,1.72,1
06/05/2020,389.75,0,2.38,1
06/12/2020,399.19,0,2.42,1
06/19/2020,414.99,0,3.96,1
06/26/2020,434.95,0,4.81,1
07/06/2020,438.97,0,0.92,1
07/13/2020,455.31,0,3.72,1
07/20/2020,436.15,0,-4.21,-1
07/27/2020,437.7,0,0.36,1
08/03/2020,439.95,0,0.51,1
08/10/2020,450.68,0,2.44,1
08/17/2020,445.96,0,-1.05,-1
08/24/2020,470.7,0,5.55,1
08/31/2020,510.61,0,8.48,1
09/08/2020,504.72,0,-1.15,-1
09/15/2020,482.13,0,-4.48,-1
09/22/2020,476.05,0,-1.26,-1
09/29/2020,479.14,0,0.65,1
10/06/2020,486.88,0,1.62,1
10/13/2020,502.27,0,3.16,1
10/20/2020,500.01,0,-0.45,-1
10/27/2020,484.36,0,-3.13,-1
11/03/2020,452.83,0,-6.51,-1
11/10/2020,480.29,0,6.06,1
11/17/2020,465.71,0,-3.04,-1
11/24/2020,462.42,0,-0.71,-1
12/02/2020,477.2,0,3.2,1
12/09/2020,488.31,0,2.33,1
12/16/2020,482.35,0,-1.22,-1
12/23/2020,499.56,0,3.57,1
12/31/2020,499.7,0,0.03,1
01/08/2021,480.04,0,-3.93,-1
01/15/2021,467.86,0,-2.54,-1
01/25/2021,468.83,0,0.21,1
02/01/2021,466.14,0,-0.57,-1
02/08/2021,488.42,0,4.78,1
02/16/2021,497.16,0,1.79,1
02/23/2021,478.77,0,-3.7,-1
03/02/2021,466.32,0,-2.6,-1
03/09/2021,437.74,0,-6.13,-1
03/16/2021,446.1,0,1.91,1
03/23/2021,448.86,0,0.62,1
03/30/2021,461.27,0,2.76,1
04/07/2021,487.02,0,5.58,1
04/14/2021,507.08,0,4.12,1
04/21/2021,518.21,0,2.19,1
04/28/2021,514.33,0,-0.75,-1
05/05/2021,501.06,0,-2.58,-1
05/12/2021,481.8,0,-3.84,-1
05/19/2021,480.91,0,-0.18,-1
05/26/2021,497.93,0,3.54,1
06/03/2021,497.54,0,-0.08,-1
06/10/2021,514.67,0,3.44,1
06/17/2021,548.27,0,6.53,1
06/24/2021,572.23,0,4.37,1
07/01/2021,585.92,0,2.39,1
07/09/2021,601.24,0,2.61,1
07/16/2021,605.26,0,0.67,1
07/23/2021,614.52,0,1.53,1
07/30/2021,620.67,0,1.0,1
08/06/2021,625.83,0,0.83,1
08/13/2021,629.73,0,0.62,1
08/20/2021,636.74,0,1.11,1
08/27/2021,656.36,0,3.08,1
09/03/2021,665.36,0,1.37,1
09/13/2021,658.08,0,-1.09,-1
09/20/2021,653.39,0,-0.71,-1
09/27/2021,625.83,0,-4.22,-1
10/04/2021,573.63,0,-8.34,-1
10/11/2021,573.18,0,-0.08,-1
10/18/2021,602.45,0,5.11,1
10/25/2021,639.53,0,6.15,1
11/01/2021,642.48,0,0.46,1
11/08/2021,659.68,0,2.68,1
11/15/2021,655.18,0,-0.68,-1
11/22/2021,674.92,0,3.01,1
11/30/2021,670.58,0,-0.64,-1
12/07/2021,643.56,0,-4.03,-1
12/14/2021,642.66,0,-0.14,-1
12/21/2021,572.07,0,-10.98,-1
12/29/2021,569.99,0,-0.36,-1
01/05/2022,554.08,0,-2.79,-1
01/12/2022,522.58,0,-5.69,-1
01/20/2022,515.65,0,-1.33,-1
01/27/2022,503.23,0,-2.41,-1
02/03/2022,526.47,0,4.62,1
02/10/2022,509.74,0,-3.18,-1
02/17/2022,472.58,0,-7.29,-1
02/25/2022,447.95,0,-5.21,-1
03/04/2022,463.35,0,3.44,1
03/11/2022,435.14,0,-6.09,-1
03/18/2022,434.64,0,-0.11,-1
03/25/2022,441.34,0,1.54,1
04/01/2022,458.04,0,3.78,1
04/08/2022,453.96,0,-0.89,-1
04/18/2022,427.76,0,-5.77,-1
04/25/2022,420.92,0,-1.6,-1
05/02/2022,402.16,0,-4.46,-1
05/09/2022,399.87,0,-0.57,-1
05/16/2022,393.83,0,-1.51,-1
05/23/2022,401.55,0,1.96,1
05/31/2022,410.84,0,2.31,1
06/07/2022,430.42,0,4.77,1
06/14/2022,398.31,0,-7.46,-1
06/22/2022,366.22,0,-8.06,-1
06/29/2022,375.91,0,2.65,1
07/07/2022,376.95,0,0.28,1
07/14/2022,378.81,0,0.49,1
07/21/2022,390.66,0,3.13,1
07/28/2022,393.88,0,0.82,1
08/04/2022,417.26,0,5.94,1
08/11/2022,433.53,0,3.9,1
08/18/2022,444.22,0,2.47,1
08/25/2022,411.28,0,-7.42,-1
09/01/2022,375.06,0,-8.81,-1
09/09/2022,378.91,0,1.03,1
09/16/2022,348.98,0,-7.9,-1
09/23/2022,289.01,0,-17.18,-1
09/30/2022,277.88,0,-3.85,-1
10/07/2022,292.95,0,5.42,1
10/14/2022,287.88,0,-1.73,-1
10/21/2022,299.01,0,3.87,1
10/28/2022,320.96,0,7.34,1
11/04/2022,301.48,0,-6.07,-1
11/11/2022,314.34,0,4.27,1
11/18/2022,338.69,0,7.75,1
11/28/2022,330.28,0,-2.48,-1
12/05/2022,338.29,100,2.43,1
12/12/2022,331.84,0,-1.91,-1
12/19/2022,335.68,0,1.16,1
12/27/2022,337.93,0,0.67,1
01/04/2023,336.15,0,-0.53,-1
01/11/2023,336.96,0,0.24,1
01/19/2023,343.43,0,1.92,1
01/26/2023,361.33,0,5.21,1
02/02/2023,376.12,0,4.09,1
02/09/2023,378.51,0,0.64,1
02/16/2023,373.0,0,-1.46,-1
02/24/2023,343.97,0,-7.78,-1
03/03/2023,329.44,0,-4.22,-1
