Date,Close,Layoffs,Pct_Change,Direction_Change
03/04/2020,40.87,0,0.0,1
03/11/2020,38.87,0,-4.89,-1
03/18/2020,35.43,0,-8.85,-1
03/25/2020,36.84,0,3.98,1
04/01/2020,39.47,0,7.14,1
04/08/2020,40.53,0,2.69,1
04/16/2020,41.64,0,2.74,1
04/23/2020,41.79,0,0.36,1
04/30/2020,42.76,0,2.32,1
05/07/2020,41.25,0,-3.53,-1
05/14/2020,43.07,0,4.41,1
05/21/2020,44.8,0,4.02,1
05/29/2020,45.82,0,2.28,1
06/05/2020,46.96,0,2.49,1
06/12/2020,46.47,0,-1.04,-1
06/19/2020,45.83,0,-1.38,-1
06/26/2020,45.38,0,-0.98,-1
07/06/2020,46.18,0,1.76,1
07/13/2020,46.15,0,-0.06,-1
07/20/2020,46.43,0,0.61,1
07/27/2020,46.98,0,1.18,1
08/03/2020,46.74,0,-0.51,-1
08/10/2020,47.59,0,1.82,1
08/17/2020,44.52,0,-6.45,-1
08/24/2020,42.12,0,-5.39,-1
08/31/2020,42.18,0,0.14,1
09/08/2020,41.24,0,-2.23,-1
09/15/2020,40.11,0,-2.74,-1
09/22/2020,39.79,0,-0.8,-1
09/29/2020,38.55,0,-3.12,-1
10/06/2020,38.72,0,0.44,1
10/13/2020,39.84,0,2.89,1
10/20/2020,39.7,0,-0.35,-1
10/27/2020,38.25,0,-3.65,-1
11/03/2020,35.98,0,-5.93,-1
11/10/2020,37.65,0,4.64,1
11/17/2020,40.76,0,8.26,1
11/24/2020,41.54,0,1.91,1
12/02/2020,43.13,0,3.83,1
12/09/2020,44.38,0,2.9,1
12/16/2020,44.46,0,0.18,1
12/23/2020,44.84,0,0.85,1
12/31/2020,44.67,0,-0.38,-1
01/08/2021,44.47,0,-0.45,-1
01/15/2021,45.42,0,2.14,1
01/25/2021,45.09,0,-0.73,-1
02/01/2021,45.26,0,0.38,1
02/08/2021,47.17,0,4.22,1
02/16/2021,47.42,0,0.53,1
02/23/2021,45.84,0,-3.33,-1
03/02/2021,45.51,0,-0.72,-1
03/09/2021,46.27,0,1.67,1
03/16/2021,49.0,0,5.9,1
03/23/2021,49.5,0,1.02,1
03/30/2021,51.4,0,3.84,1
04/07/2021,51.98,0,1.13,1
04/14/2021,51.72,0,-0.5,-1
04/21/2021,52.2,0,0.93,1
04/28/2021,51.51,0,-1.32,-1
05/05/2021,51.08,0,-0.83,-1
05/12/2021,52.69,0,3.15,1
05/19/2021,52.75,0,0.11,1
05/26/2021,52.98,0,0.44,1
06/03/2021,52.95,0,-0.06,-1
06/10/2021,54.23,0,2.42,1
06/17/2021,53.87,0,-0.66,-1
06/24/2021,52.81,0,-1.97,-1
07/01/2021,53.07,0,0.49,1
07/09/2021,53.36,0,0.55,1
07/16/2021,53.6,0,0.45,1
07/23/2021,54.06,0,0.86,1
07/30/2021,55.19,0,2.09,1
08/06/2021,55.75,0,1.01,1
08/13/2021,55.96,0,0.38,1
08/20/2021,56.59,0,1.13,1
08/27/2021,59.09,0,4.42,1
09/03/2021,59.23,0,0.24,1
09/13/2021,58.43,0,-1.35,-1
09/20/2021,57.1,0,-2.28,-1
09/27/2021,56.08,0,-1.79,-1
10/04/2021,54.96,0,-2.0,-1
10/11/2021,54.73,0,-0.42,-1
10/18/2021,55.0,0,0.49,1
10/25/2021,55.58,0,1.05,1
11/01/2021,56.06,0,0.86,1
11/08/2021,57.29,0,2.19,1
11/15/2021,57.21,0,-0.14,-1
11/22/2021,55.05,0,-3.78,-1
11/30/2021,55.22,0,0.31,1
12/07/2021,56.49,0,2.3,1
12/14/2021,58.04,0,2.74,1
12/21/2021,60.42,0,4.1,1
12/29/2021,62.94,0,4.17,1
01/05/2022,62.34,0,-0.95,-1
01/12/2022,61.67,0,-1.07,-1
01/20/2022,59.91,0,-2.85,-1
01/27/2022,55.93,0,-6.64,-1
02/03/2022,55.6,0,-0.59,-1
02/10/2022,55.36,0,-0.43,-1
02/17/2022,54.27,0,-1.97,-1
02/25/2022,55.74,0,2.71,1
03/04/2022,55.82,0,0.14,1
03/11/2022,55.06,0,-1.36,-1
03/18/2022,55.57,0,0.93,1
03/25/2022,55.22,0,-0.63,-1
04/01/2022,55.66,0,0.8,1
04/08/2022,54.81,0,-1.53,-1
04/18/2022,51.83,0,-5.44,-1
04/25/2022,52.19,0,0.69,1
05/02/2022,49.94,0,-4.31,-1
05/09/2022,49.88,0,-0.12,-1
05/16/2022,49.01,0,-1.74,-1
05/23/2022,45.39,0,-7.39,-1
05/31/2022,44.69,0,-1.54,-1
06/07/2022,45.43,0,1.66,1
06/14/2022,43.76,0,-3.68,-1
06/22/2022,43.64,0,-0.27,-1
06/29/2022,43.35,0,-0.66,-1
07/07/2022,42.62,0,-1.68,-1
07/14/2022,42.91,0,0.68,1
07/21/2022,43.68,0,1.79,1
07/28/2022,44.58,0,2.06,1
08/04/2022,45.33,0,1.68,1
08/11/2022,45.37,0,0.09,1
08/18/2022,47.2,0,4.03,1
08/25/2022,47.63,0,0.91,1
09/01/2022,45.37,0,-4.74,-1
09/09/2022,45.04,0,-0.73,-1
09/16/2022,44.21,0,-1.84,-1
09/23/2022,41.86,0,-5.32,-1
09/30/2022,40.6,0,-3.01,-1
10/07/2022,41.38,0,1.92,1
10/14/2022,39.91,0,-3.55,-1
10/21/2022,41.9,0,4.99,1
10/28/2022,44.47,150,6.13,1
11/04/2022,44.77,0,0.67,1
11/11/2022,44.7,10000,-0.16,-1
11/18/2022,45.68,0,2.19,1
11/28/2022,48.21,0,5.54,1
12/05/2022,49.4,0,2.47,1
12/12/2022,48.7,0,-1.42,-1
12/19/2022,48.46,0,-0.49,-1
12/27/2022,47.47,0,-2.04,-1
01/04/2023,47.54,8000,0.15,1
01/11/2023,48.36,0,1.72,1
01/19/2023,47.86,0,-1.03,-1
01/26/2023,47.68,0,-0.38,-1
02/02/2023,48.66,0,2.06,1
02/09/2023,47.55,0,-2.28,-1
02/16/2023,48.45,0,1.89,1
02/24/2023,49.49,0,2.15,1
03/03/2023,48.66,0,-1.68,-1
