Date,Close,Layoffs
03/03/2023,91.19,0
02/24/2023,91.56,0
02/16/2023,95.26,0
02/09/2023,101.94,0
02/02/2023,100.66,0
01/26/2023,97.65,0
01/19/2023,91.74,12000
01/11/2023,88.3,0
01/04/2023,87.98,0
12/27/2022,88.6,0
12/19/2022,92.05,0
12/12/2022,94.35,0
12/05/2022,99.42,0
11/28/2022,96.92,0
11/18/2022,97.76,0
11/11/2022,91.01,0
11/04/2022,88.39,0
10/28/2022,98.09,0
10/21/2022,100.29,0
10/14/2022,97.64,0
10/07/2022,100.36,0
09/30/2022,97.76,0
09/23/2022,100.47,0
09/16/2022,105.18,0
09/09/2022,108.63,0
09/01/2022,109.33,0
08/25/2022,115.13,0
08/18/2022,121.04,0
08/11/2022,117.99,0
08/04/2022,116.52,0
07/28/2022,109.54,0
07/21/2022,112.57,0
07/14/2022,114.15,0
07/07/2022,112.86,0
06/29/2022,113.95,0
06/22/2022,109.19,0
06/14/2022,111.26,0
06/07/2022,116.01,0
05/31/2022,109.13,0
05/23/2022,111.83,0
05/16/2022,114.27,0
05/09/2022,116.87,0
05/02/2022,116.43,0
04/25/2022,125.11,0
04/18/2022,128.17,0
04/08/2022,137.86,0
04/01/2022,141.02,0
03/25/2022,139.5,0
03/18/2022,131.68,0
03/11/2022,129.84,0
03/04/2022,133.9,0
02/25/2022,130.99,0
02/17/2022,135.34,0
02/10/2022,140.42,0
02/03/2022,139.48,0
01/27/2022,129.27,0
01/20/2022,136.5,0
01/12/2022,138.92,0
01/05/2022,143.64,0
12/29/2021,146.92,0
12/21/2021,143.54,0
12/14/2021,146.71,0
12/07/2021,143.29,0
11/30/2021,144.3,0
11/22/2021,148.2,0
11/15/2021,147.54,0
11/08/2021,147.64,0
11/01/2021,144.58,0
10/25/2021,140.38,0
10/18/2021,139.87,0
10/11/2021,138.3,0
10/04/2021,134.81,0
09/27/2021,140.76,0
09/20/2021,142.02,0
09/13/2021,142.94,0
09/03/2021,144.31,0
08/27/2021,141.77,0
08/20/2021,136.71,0
08/13/2021,136.98,0
08/06/2021,135.52,0
07/30/2021,134.51,0
07/23/2021,127.95,0
07/16/2021,127.31,0
07/09/2021,125.7,0
07/01/2021,122.37,0
06/24/2021,121.78,0
06/17/2021,121.58,0
06/10/2021,120.37,0
06/03/2021,118.19,0
05/26/2021,117.05,0
05/19/2021,113.3,0
05/12/2021,114.51,0
05/05/2021,117.11,0
04/28/2021,115.12,0
04/21/2021,114.15,0
04/14/2021,112.62,0
04/07/2021,108.6,0
03/30/2021,101.82,0
03/23/2021,102.03,0
03/16/2021,103.25,0
03/09/2021,101.9,0
03/02/2021,102.56,0
02/23/2021,104.28,0
02/16/2021,104.56,0
02/08/2021,102.05,0
02/01/2021,93.01,0
01/25/2021,93.36,0
01/15/2021,87.0,0
01/08/2021,87.61,0
12/31/2020,87.55,0
12/23/2020,86.5,0
12/16/2020,88.13,0
12/09/2020,90.52,0
12/02/2020,89.26,0
11/24/2020,87.27,0
11/17/2020,87.98,0
11/10/2020,87.67,0
11/03/2020,79.54,0
10/27/2020,80.09,0
10/20/2020,77.68,0
10/13/2020,75.85,0
10/06/2020,73.43,0
09/29/2020,71.96,0
09/22/2020,73.4,0
09/15/2020,76.33,0
09/08/2020,81.07,0
08/31/2020,81.47,0
08/24/2020,78.37,0
08/17/2020,75.25,0
08/10/2020,74.53,0
08/03/2020,75.36,0
07/27/2020,76.75,0
07/20/2020,76.33,0
07/13/2020,75.63,0
07/06/2020,72.27,0
06/26/2020,71.51,0
06/19/2020,71.79,0
06/12/2020,71.8,0
06/05/2020,71.71,0
05/29/2020,71.07,0
05/21/2020,69.49,0
05/14/2020,68.68,0
05/07/2020,67.04,0
04/30/2020,64.69,0
04/23/2020,62.82,0
04/16/2020,61.97,0
04/08/2020,57.82,0
04/01/2020,56.84,0
03/25/2020,54.66,0
03/18/2020,56.08,0
03/11/2020,63.12,0
03/04/2020,68.43,0
