Date,Close,Layoffs,Pct_Change,Direction_Change
03/04/2020,128.22,0,0.0,1
03/11/2020,119.6,0,-6.72,-1
03/18/2020,100.67,0,-15.83,-1
03/25/2020,97.14,0,-3.51,-1
04/01/2020,106.45,0,9.58,1
04/08/2020,109.45,0,2.82,1
04/16/2020,116.34,0,6.3,1
04/23/2020,115.75,0,-0.51,-1
04/30/2020,122.18,0,5.56,1
05/07/2020,118.19,0,-3.27,-1
05/14/2020,115.86,0,-1.97,-1
05/21/2020,116.02,0,0.14,1
05/29/2020,119.08,0,2.64,1
06/05/2020,124.06,0,4.18,1
06/12/2020,123.39,0,-0.54,-1
06/19/2020,119.55,0,-3.11,-1
06/26/2020,114.82,0,-3.96,-1
07/06/2020,115.95,0,0.98,1
07/13/2020,113.93,0,-1.74,-1
07/20/2020,119.84,0,5.19,1
07/27/2020,122.74,0,2.42,1
08/03/2020,120.01,0,-2.22,-1
08/10/2020,121.86,0,1.54,1
08/17/2020,121.61,0,-0.21,-1
08/24/2020,120.17,0,-1.18,-1
08/31/2020,120.38,0,0.17,1
09/08/2020,119.93,0,-0.37,-1
09/15/2020,117.85,0,-1.73,-1
09/22/2020,118.6,0,0.64,1
09/29/2020,115.87,0,-2.3,-1
10/06/2020,117.56,0,1.46,1
10/13/2020,123.05,0,4.67,1
10/20/2020,119.95,0,-2.52,-1
10/27/2020,110.26,0,-8.08,-1
11/03/2020,107.3,0,-2.68,-1
11/10/2020,111.14,0,3.58,1
11/17/2020,113.17,0,1.83,1
11/24/2020,115.26,0,1.85,1
12/02/2020,119.99,0,4.1,1
12/09/2020,121.57,0,1.32,1
12/16/2020,120.84,0,-0.6,-1
12/23/2020,120.47,0,-0.31,-1
12/31/2020,120.7,0,0.19,1
01/08/2021,123.29,0,2.15,1
01/15/2021,124.29,0,0.81,1
01/25/2021,121.56,0,-2.2,-1
02/01/2021,117.06,0,-3.7,-1
02/08/2021,117.11,0,0.04,1
02/16/2021,117.33,0,0.19,1
02/23/2021,116.39,0,-0.8,-1
03/02/2021,117.25,0,0.74,1
03/09/2021,118.92,0,1.42,1
03/16/2021,123.78,0,4.09,1
03/23/2021,125.63,0,1.49,1
03/30/2021,129.83,0,3.34,1
04/07/2021,130.0,0,0.13,1
04/14/2021,129.55,0,-0.35,-1
04/21/2021,131.83,0,1.76,1
04/28/2021,137.5,0,4.3,1
05/05/2021,139.73,0,1.62,1
05/12/2021,140.46,0,0.52,1
05/19/2021,139.58,0,-0.63,-1
05/26/2021,139.48,0,-0.07,-1
06/03/2021,139.96,0,0.34,1
06/10/2021,144.36,0,3.14,1
06/17/2021,144.04,0,-0.22,-1
06/24/2021,140.57,0,-2.41,-1
07/01/2021,141.53,0,0.68,1
07/09/2021,135.68,0,-4.13,-1
07/16/2021,135.58,0,-0.07,-1
07/23/2021,135.75,0,0.13,1
07/30/2021,137.48,0,1.27,1
08/06/2021,138.43,0,0.69,1
08/13/2021,137.64,0,-0.57,-1
08/20/2021,136.01,0,-1.18,-1
08/27/2021,135.02,0,-0.73,-1
09/03/2021,135.16,0,0.1,1
09/13/2021,133.5,0,-1.23,-1
09/20/2021,131.52,0,-1.48,-1
09/27/2021,131.71,0,0.14,1
10/04/2021,136.09,0,3.33,1
10/11/2021,138.02,0,1.42,1
10/18/2021,137.74,0,-0.2,-1
10/25/2021,129.26,0,-6.16,-1
11/01/2021,121.86,0,-5.72,-1
11/08/2021,122.84,0,0.8,1
11/15/2021,119.83,0,-2.45,-1
11/22/2021,117.14,0,-2.24,-1
11/30/2021,116.99,0,-0.13,-1
12/07/2021,118.83,0,1.57,1
12/14/2021,123.4,0,3.85,1
12/21/2021,126.49,0,2.5,1
12/29/2021,131.6,0,4.04,1
01/05/2022,135.97,0,3.32,1
01/12/2022,134.33,0,-1.21,-1
01/20/2022,132.86,0,-1.09,-1
01/27/2022,132.21,0,-0.49,-1
02/03/2022,135.73,0,2.66,1
02/10/2022,136.54,0,0.6,1
02/17/2022,129.39,0,-5.24,-1
02/25/2022,123.3,0,-4.71,-1
03/04/2022,124.05,0,0.61,1
03/11/2022,125.26,0,0.98,1
03/18/2022,126.67,0,1.13,1
03/25/2022,129.21,0,2.01,1
04/01/2022,131.14,0,1.49,1
04/08/2022,128.97,0,-1.65,-1
04/18/2022,126.24,0,-2.12,-1
04/25/2022,136.93,0,8.47,1
05/02/2022,134.45,0,-1.81,-1
05/09/2022,135.59,0,0.85,1
05/16/2022,132.28,0,-2.44,-1
05/23/2022,132.12,0,-0.12,-1
05/31/2022,136.64,0,3.42,1
06/07/2022,141.28,0,3.4,1
06/14/2022,137.16,0,-2.92,-1
06/22/2022,136.54,0,-0.45,-1
06/29/2022,141.17,0,3.39,1
07/07/2022,139.77,0,-0.99,-1
07/14/2022,139.38,0,-0.28,-1
