Date,Close,Layoffs
03/03/2023,175.54,0
02/24/2023,171.7,0
02/16/2023,176.53,0
02/09/2023,185.11,0
02/02/2023,157.93,0
01/26/2023,142.92,0
01/19/2023,135.64,0
01/11/2023,130.46,0
01/04/2023,121.67,0
12/27/2022,117.78,0
12/19/2022,118.36,0
12/12/2022,114.8,0
12/05/2022,118.78,0
11/28/2022,110.75,0
11/18/2022,113.61,0
11/11/2022,103.91,0
11/04/2022,91.72,11000
10/28/2022,118.84,0
10/21/2022,132.32,0
10/14/2022,129.38,0
10/07/2022,138.08,0
09/30/2022,136.89,0
09/23/2022,143.89,0
09/16/2022,153.88,0
09/09/2022,162.09,0
09/01/2022,161.28,0
08/25/2022,164.83,0
08/18/2022,178.07,0
08/11/2022,172.34,0
08/04/2022,163.72,0
07/28/2022,165.07,0
07/21/2022,174.79,0
07/14/2022,163.71,0
07/07/2022,166.29,0
06/29/2022,164.6,0
06/22/2022,161.37,0
06/14/2022,176.84,0
06/07/2022,193.64,0
05/31/2022,189.1,0
05/23/2022,195.18,0
05/16/2022,195.26,0
05/09/2022,208.74,0
05/02/2022,194.65,0
04/25/2022,195.38,0
04/18/2022,213.31,0
04/08/2022,226.86,0
04/01/2022,225.7,0
03/25/2022,216.6,0
03/18/2022,201.32,0
03/11/2022,191.82,0
03/04/2022,205.13,0
02/25/2022,204.95,0
02/17/2022,216.5,0
02/10/2022,228.45,0
02/03/2022,298.95,0
01/27/2022,300.26,0
01/20/2022,322.54,0
01/12/2022,331.99,0
01/05/2022,335.99,0
12/29/2021,340.21,0
12/21/2021,334.0,0
12/14/2021,331.67,0
12/07/2021,313.7,0
11/30/2021,334.78,0
11/22/2021,341.75,0
11/15/2021,335.84,0
11/08/2021,335.06,0
11/01/2021,319.7,0
10/25/2021,335.19,0
10/18/2021,327.39,0
10/11/2021,330.26,0
10/04/2021,337.78,0
09/27/2021,350.64,0
09/20/2021,368.79,0
09/13/2021,378.59,0
09/03/2021,378.73,0
08/27/2021,366.85,0
08/20/2021,358.99,0
08/13/2021,361.71,0
08/06/2021,357.72,0
07/30/2021,365.63,0
07/23/2021,349.16,0
07/16/2021,347.7,0
07/09/2021,350.81,0
07/01/2021,350.2,0
06/24/2021,336.95,0
06/17/2021,334.47,0
06/10/2021,332.66,0
06/03/2021,329.16,0
05/26/2021,322.98,0
05/19/2021,312.04,0
05/12/2021,310.83,0
05/05/2021,322.11,0
04/28/2021,302.27,0
04/21/2021,304.07,0
04/14/2021,309.92,0
04/07/2021,304.29,0
03/30/2021,284.54,0
03/23/2021,287.38,0
03/16/2021,272.04,0
03/09/2021,259.68,0
03/02/2021,260.11,0
02/23/2021,266.14,0
02/16/2021,271.24,0
02/08/2021,266.98,0
02/01/2021,267.91,0
01/25/2021,270.79,0
01/15/2021,251.31,0
01/08/2021,267.91,0
12/31/2020,273.24,0
12/23/2020,271.77,0
12/16/2020,275.22,0
12/09/2020,281.69,0
12/02/2020,280.89,0
11/24/2020,271.99,0
11/17/2020,276.49,0
11/10/2020,285.33,0
11/03/2020,267.65,0
10/27/2020,280.41,0
10/20/2020,266.69,0
10/13/2020,267.64,0
10/06/2020,262.36,0
09/29/2020,254.4,0
09/22/2020,254.75,0
09/15/2020,269.4,0
09/08/2020,288.59,0
08/31/2020,292.96,0
08/24/2020,266.47,0
08/17/2020,259.94,0
08/10/2020,259.13,0
08/03/2020,240.71,0
07/27/2020,235.69,0
07/20/2020,241.68,0
07/13/2020,242.6,0
07/06/2020,231.79,0
06/26/2020,233.45,0
06/19/2020,235.68,0
06/12/2020,231.96,0
06/05/2020,230.37,0
05/29/2020,229.36,0
05/21/2020,220.46,0
05/14/2020,209.51,0
05/07/2020,206.87,0
04/30/2020,191.88,0
04/23/2020,179.14,0
04/16/2020,176.27,0
04/08/2020,164.21,0
04/01/2020,162.5,0
03/25/2020,153.63,0
03/18/2020,153.43,0
03/11/2020,176.84,0
03/04/2020,191.36,0
