Date,Close,Layoffs,Pct_Change,Direction_Change
03/04/2020,50.1,0,0.0,1
03/11/2020,46.94,0,-6.31,-1
03/18/2020,44.92,0,-4.3,-1
03/25/2020,45.74,0,1.83,1
04/01/2020,49.54,0,8.31,1
04/08/2020,50.72,0,2.38,1
04/16/2020,53.4,0,5.28,1
04/23/2020,52.82,0,-1.09,-1
04/30/2020,53.29,0,0.89,1
05/07/2020,52.01,0,-2.4,-1
05/14/2020,52.79,0,1.5,1
05/21/2020,52.71,0,-0.15,-1
05/29/2020,53.2,0,0.93,1
06/05/2020,53.33,0,0.24,1
06/12/2020,53.31,0,-0.04,-1
06/19/2020,53.49,0,0.34,1
06/26/2020,54.69,0,2.24,1
07/06/2020,55.61,0,1.68,1
07/13/2020,56.98,0,2.46,1
07/20/2020,55.99,0,-1.74,-1
07/27/2020,55.73,0,-0.46,-1
08/03/2020,55.55,0,-0.32,-1
08/10/2020,55.39,0,-0.29,-1
08/17/2020,54.13,0,-2.27,-1
08/24/2020,55.57,0,2.66,1
08/31/2020,57.17,0,2.88,1
09/08/2020,56.97,0,-0.35,-1
09/15/2020,58.34,0,2.4,1
09/22/2020,60.36,0,3.46,1
09/29/2020,59.42,0,-1.56,-1
10/06/2020,59.46,0,0.07,1
10/13/2020,61.01,0,2.61,1
10/20/2020,60.23,0,-1.28,-1
10/27/2020,58.77,0,-2.42,-1
11/03/2020,56.19,0,-4.39,-1
11/10/2020,56.69,0,0.89,1
11/17/2020,56.97,0,0.49,1
11/24/2020,56.41,0,-0.98,-1
12/02/2020,58.14,0,3.07,1
12/09/2020,59.56,0,2.44,1
12/16/2020,61.1,0,2.59,1
12/23/2020,64.72,0,5.92,1
12/31/2020,64.68,0,-0.06,-1
01/08/2021,63.15,0,-2.37,-1
01/15/2021,62.18,0,-1.54,-1
01/25/2021,61.06,0,-1.8,-1
02/01/2021,61.5,0,0.72,1
02/08/2021,62.92,0,2.31,1
02/16/2021,62.97,0,0.08,1
02/23/2021,62.85,0,-0.19,-1
03/02/2021,65.47,0,4.17,1
03/09/2021,69.46,0,6.09,1
03/16/2021,68.25,0,-1.74,-1
03/23/2021,66.56,0,-2.48,-1
03/30/2021,69.48,0,4.39,1
04/07/2021,72.9,0,4.92,1
04/14/2021,76.09,0,4.38,1
04/21/2021,78.38,0,3.01,1
04/28/2021,74.87,0,-4.48,-1
05/05/2021,77.34,0,3.3,1
05/12/2021,78.95,0,2.08,1
05/19/2021,78.71,0,-0.3,-1
05/26/2021,79.04,0,0.42,1
06/03/2021,79.73,0,0.87,1
06/10/2021,83.65,0,4.92,1
06/17/2021,80.36,0,-3.93,-1
06/24/2021,77.75,0,-3.25,-1
07/01/2021,78.49,0,0.95,1
07/09/2021,84.87,0,8.13,1
07/16/2021,87.23,0,2.78,1
07/23/2021,88.74,0,1.73,1
07/30/2021,87.52,0,-1.37,-1
08/06/2021,89.27,0,2.0,1
08/13/2021,89.87,0,0.67,1
08/20/2021,89.67,0,-0.22,-1
08/27/2021,88.87,0,-0.89,-1
09/03/2021,89.67,0,0.9,1
09/13/2021,89.26,0,-0.46,-1
09/20/2021,86.79,0,-2.77,-1
09/27/2021,89.15,0,2.72,1
10/04/2021,89.57,0,0.47,1
10/11/2021,92.96,0,3.78,1
10/18/2021,95.82,0,3.08,1
10/25/2021,97.23,0,1.47,1
11/01/2021,95.91,0,-1.36,-1
11/08/2021,95.55,0,-0.38,-1
11/15/2021,94.0,0,-1.62,-1
11/22/2021,94.84,0,0.89,1
11/30/2021,92.51,0,-2.46,-1
12/07/2021,89.39,0,-3.37,-1
12/14/2021,96.22,0,7.64,1
12/21/2021,97.33,0,1.15,1
12/29/2021,89.2,0,-8.35,-1
01/05/2022,87.68,0,-1.7,-1
01/12/2022,87.98,0,0.34,1
01/20/2022,85.43,0,-2.9,-1
01/27/2022,81.02,0,-5.16,-1
02/03/2022,81.42,0,0.49,1
02/10/2022,81.79,0,0.45,1
02/17/2022,78.64,0,-3.85,-1
02/25/2022,74.46,0,-5.32,-1
03/04/2022,77.0,0,3.41,1
03/11/2022,75.64,0,-1.77,-1
03/18/2022,79.98,0,5.74,1
03/25/2022,81.42,0,1.8,1
04/01/2022,83.2,0,2.19,1
04/08/2022,82.32,0,-1.06,-1
04/18/2022,79.3,0,-3.67,-1
04/25/2022,78.5,0,-1.01,-1
05/02/2022,74.56,0,-5.02,-1
05/09/2022,73.07,0,-2.0,-1
05/16/2022,71.03,0,-2.79,-1
05/23/2022,69.18,0,-2.6,-1
05/31/2022,71.04,0,2.69,1
06/07/2022,72.44,0,1.97,1
06/14/2022,68.5,0,-5.44,-1
06/22/2022,68.07,0,-0.63,-1
06/29/2022,69.31,0,1.82,1
07/07/2022,71.24,0,2.78,1
07/14/2022,70.67,0,-0.8,-1
07/21/2022,72.06,0,1.97,1
07/28/2022,75.34,0,4.55,1
08/04/2022,77.28,0,2.57,1
08/11/2022,77.06,0,-0.28,-1
08/18/2022,79.27,0,2.87,1
08/25/2022,76.92,0,-2.96,-1
09/01/2022,74.49,0,-3.16,-1
09/09/2022,74.71,0,0.3,1
09/16/2022,72.86,0,-2.48,-1
09/23/2022,66.9,0,-8.18,-1
09/30/2022,62.28,0,-6.91,-1
10/07/2022,64.8,0,4.05,1
10/14/2022,63.65,0,-1.77,-1
10/21/2022,68.46,0,7.56,1
10/28/2022,74.68,200,9.09,1
11/04/2022,76.27,0,2.13,1
11/11/2022,76.59,0,0.42,1
11/18/2022,79.31,0,3.55,1
11/28/2022,81.72,0,3.04,1
12/05/2022,82.15,0,0.53,1
12/12/2022,79.78,0,-2.88,-1
12/19/2022,80.51,0,0.92,1
12/27/2022,80.95,0,0.55,1
01/04/2023,82.33,0,1.7,1
01/11/2023,86.3,0,4.82,1
01/19/2023,87.85,0,1.8,1
01/26/2023,89.08,0,1.4,1
02/02/2023,88.85,0,-0.26,-1
02/09/2023,87.85,0,-1.13,-1
02/16/2023,88.34,0,0.56,1
02/24/2023,87.41,0,-1.05,-1
03/03/2023,87.58,0,0.19,1
