Date,Close,Layoffs,Pct_Change,Direction_Change
03/04/2020,173.94,0,0.0,1
03/11/2020,160.16,0,-7.92,-1
03/18/2020,136.07,0,-15.04,-1
03/25/2020,144.01,0,5.84,1
04/01/2020,145.72,0,1.19,1
04/08/2020,142.47,0,-2.23,-1
04/16/2020,155.49,0,9.14,1
04/23/2020,156.36,0,0.56,1
04/30/2020,157.69,0,0.85,1
05/07/2020,162.93,0,3.32,1
05/14/2020,174.55,0,7.13,1
05/21/2020,174.41,0,-0.08,-1
05/29/2020,177.37,0,1.7,1
06/05/2020,174.18,0,-1.8,-1
06/12/2020,176.07,0,1.09,1
06/19/2020,183.02,0,3.95,1
06/26/2020,187.55,0,2.48,1
07/06/2020,190.56,0,1.6,1
07/13/2020,196.92,0,3.34,1
07/20/2020,189.21,0,-3.92,-1
07/27/2020,190.02,0,0.43,1
08/03/2020,194.57,0,2.39,1
08/10/2020,202.01,0,3.82,1
08/17/2020,193.99,0,-3.97,-1
08/24/2020,206.92,1000,6.67,1
08/31/2020,261.69,0,26.47,1
09/08/2020,263.78,0,0.8,1
09/15/2020,247.93,0,-6.01,-1
09/22/2020,246.15,0,-0.72,-1
09/29/2020,242.08,0,-1.65,-1
10/06/2020,250.86,0,3.63,1
10/13/2020,264.02,0,5.25,1
10/20/2020,257.82,0,-2.35,-1
10/27/2020,249.34,0,-3.29,-1
11/03/2020,235.48,0,-5.56,-1
11/10/2020,255.61,0,8.55,1
11/17/2020,251.83,0,-1.48,-1
11/24/2020,259.67,0,3.11,1
12/02/2020,240.48,0,-7.39,-1
12/09/2020,224.59,0,-6.61,-1
12/16/2020,222.08,0,-1.12,-1
12/23/2020,227.68,0,2.52,1
12/31/2020,223.56,0,-1.81,-1
01/08/2021,219.6,0,-1.77,-1
01/15/2021,216.14,0,-1.58,-1
01/25/2021,222.81,0,3.09,1
02/01/2021,226.31,0,1.57,1
02/08/2021,236.96,0,4.71,1
02/16/2021,240.72,0,1.59,1
02/23/2021,243.56,0,1.18,1
03/02/2021,223.81,0,-8.11,-1
03/09/2021,208.27,0,-6.94,-1
