Date,Close,Layoffs,Pct_Change,Direction_Change
03/04/2020,33.47,0,0.0,1
03/11/2020,29.45,0,-12.01,-1
03/18/2020,19.85,0,-32.6,-1
03/25/2020,23.36,0,17.68,1
04/01/2020,27.31,0,16.91,1
04/08/2020,25.03,0,-8.35,-1
04/16/2020,27.46,0,9.71,1
04/23/2020,27.99,0,1.93,1
04/30/2020,30.27,3700,8.15,1
05/07/2020,28.53,0,-5.75,-1
05/14/2020,32.53,3000,14.02,1
05/21/2020,33.65,600,3.44,1
05/29/2020,34.95,0,3.86,1
06/05/2020,36.4,0,4.15,1
06/12/2020,34.37,225,-5.58,-1
06/19/2020,33.03,0,-3.9,-1
06/26/2020,31.28,0,-5.3,-1
07/06/2020,30.87,0,-1.31,-1
07/13/2020,32.95,0,6.74,1
07/20/2020,32.46,0,-1.49,-1
07/27/2020,31.91,0,-1.69,-1
08/03/2020,30.7,0,-3.79,-1
08/10/2020,33.15,0,7.98,1
08/17/2020,30.4,0,-8.3,-1
08/24/2020,30.56,0,0.53,1
08/31/2020,32.74,0,7.13,1
09/08/2020,33.93,0,3.63,1
09/15/2020,36.68,0,8.1,1
09/22/2020,36.55,0,-0.35,-1
09/29/2020,34.47,0,-5.69,-1
10/06/2020,36.95,0,7.19,1
10/13/2020,36.64,0,-0.84,-1
10/20/2020,34.72,0,-5.24,-1
10/27/2020,35.66,0,2.71,1
11/03/2020,34.34,0,-3.7,-1
11/10/2020,44.6,0,29.88,1
11/17/2020,47.67,0,6.88,1
11/24/2020,49.62,0,4.09,1
12/02/2020,50.78,0,2.34,1
12/09/2020,53.6,0,5.55,1
12/16/2020,51.99,0,-3.0,-1
12/23/2020,52.11,0,0.23,1
12/31/2020,52.25,0,0.27,1
01/08/2021,53.41,0,2.22,1
01/15/2021,56.99,0,6.7,1
01/25/2021,55.41,0,-2.77,-1
02/01/2021,51.06,0,-7.85,-1
02/08/2021,57.86,0,13.32,1
02/16/2021,60.93,0,5.31,1
02/23/2021,57.9,0,-4.97,-1
03/02/2021,53.23,0,-8.07,-1
03/09/2021,54.63,0,2.63,1
03/16/2021,59.2,0,8.37,1
03/23/2021,55.66,0,-5.98,-1
03/30/2021,53.6,0,-3.7,-1
04/07/2021,56.89,0,6.14,1
04/14/2021,58.96,0,3.64,1
04/21/2021,58.04,0,-1.56,-1
04/28/2021,57.48,0,-0.96,-1
05/05/2021,53.74,0,-6.51,-1
05/12/2021,45.9,0,-14.59,-1
05/19/2021,47.61,0,3.73,1
05/26/2021,49.95,0,4.91,1
06/03/2021,50.4,0,0.9,1
06/10/2021,49.9,0,-0.99,-1
06/17/2021,49.73,0,-0.34,-1
06/24/2021,49.64,0,-0.18,-1
07/01/2021,50.86,0,2.46,1
07/09/2021,49.56,0,-2.56,-1
07/16/2021,47.25,0,-4.66,-1
07/23/2021,46.89,0,-0.76,-1
07/30/2021,45.38,0,-3.22,-1
08/06/2021,43.09,0,-5.05,-1
08/13/2021,42.96,0,-0.3,-1
08/20/2021,40.64,0,-5.4,-1
08/27/2021,40.81,0,0.42,1
09/03/2021,40.21,0,-1.47,-1
09/13/2021,40.27,0,0.15,1
09/20/2021,39.31,0,-2.38,-1
09/27/2021,45.72,0,16.31,1
10/04/2021,45.61,0,-0.24,-1
10/11/2021,46.92,0,2.87,1
10/18/2021,47.17,0,0.53,1
10/25/2021,46.15,0,-2.16,-1
11/01/2021,44.71,0,-3.12,-1
11/08/2021,45.39,0,1.52,1
11/15/2021,44.18,0,-2.67,-1
11/22/2021,44.34,0,0.36,1
11/30/2021,40.6,0,-8.43,-1
12/07/2021,37.31,0,-8.1,-1
12/14/2021,37.2,0,-0.29,-1
12/21/2021,39.38,0,5.86,1
12/29/2021,42.98,0,9.14,1
01/05/2022,43.24,0,0.6,1
01/12/2022,42.56,0,-1.57,-1
01/20/2022,39.69,0,-6.74,-1
01/27/2022,35.19,0,-11.34,-1
02/03/2022,36.59,0,3.98,1
02/10/2022,38.17,0,4.32,1
02/17/2022,35.85,0,-6.08,-1
02/25/2022,34.12,0,-4.83,-1
03/04/2022,33.1,0,-2.99,-1
03/11/2022,30.4,0,-8.16,-1
03/18/2022,31.58,0,3.88,1
03/25/2022,33.43,0,5.86,1
04/01/2022,36.04,0,7.81,1
04/08/2022,33.84,0,-6.1,-1
04/18/2022,32.23,0,-4.76,-1
04/25/2022,32.39,0,0.5,1
05/02/2022,31.34,0,-3.24,-1
05/09/2022,26.7,0,-14.81,-1
05/16/2022,23.5,0,-11.99,-1
05/23/2022,23.41,0,-0.38,-1
05/31/2022,22.71,0,-2.99,-1
06/07/2022,24.37,0,7.31,1
06/14/2022,23.53,0,-3.45,-1
06/22/2022,21.51,0,-8.58,-1
06/29/2022,22.36,0,3.95,1
07/07/2022,21.71,0,-2.91,-1
07/14/2022,21.45,0,-1.2,-1
07/21/2022,23.05,0,7.46,1
07/28/2022,23.12,0,0.3,1
08/04/2022,27.87,0,20.54,1
08/11/2022,31.99,0,14.78,1
08/18/2022,31.64,0,-1.09,-1
08/25/2022,28.63,0,-9.51,-1
09/01/2022,28.74,60,0.38,1
09/09/2022,30.09,0,4.7,1
09/16/2022,32.39,0,7.64,1
09/23/2022,29.97,0,-7.47,-1
09/30/2022,27.08,0,-9.64,-1
10/07/2022,28.58,0,5.54,1
10/14/2022,25.58,0,-10.5,-1
10/21/2022,27.39,0,7.08,1
10/28/2022,27.91,0,1.9,1
11/04/2022,28.45,0,1.93,1
11/11/2022,27.94,0,-1.79,-1
11/18/2022,29.7,0,6.3,1
11/28/2022,28.28,0,-4.78,-1
12/05/2022,28.34,0,0.21,1
12/12/2022,26.67,0,-5.89,-1
12/19/2022,26.32,0,-1.31,-1
12/27/2022,24.8,0,-5.78,-1
01/04/2023,25.1,0,1.21,1
01/11/2023,27.15,0,8.17,1
01/19/2023,29.13,0,7.29,1
01/26/2023,30.23,0,3.78,1
02/02/2023,31.09,0,2.84,1
02/09/2023,34.92,0,12.32,1
02/16/2023,35.08,0,0.46,1
02/24/2023,34.28,0,-2.28,-1
03/03/2023,33.61,0,-1.95,-1
